episode,timestep,reward
55,2000,8.4451
110,4000,10.506
152,6000,22.1029
202,8000,13.4233
243,10000,21.7562
286,12000,23.2622
322,14000,29.3492
358,16000,25.8141
388,18000,42.8702
423,20000,29.1862
453,22000,44.4121
478,24000,57.6326
502,26000,58.7137
527,28000,50.1141
553,30000,56.3919
577,32000,73.711
600,34000,73.4247
621,36000,75.3256
640,38000,92.3394
659,40000,99.944
675,42000,122.2419
691,44000,133.2863
705,46000,166.0302
722,48000,136.9179
739,50000,116.0658
757,52000,111.5166
772,54000,183.6238
788,56000,159.894
803,58000,176.418
816,60000,205.538
832,62000,168.1514
846,64000,183.9898
859,66000,180.192
873,68000,189.7223
886,70000,193.5498
901,72000,181.3162
917,74000,184.788
931,76000,193.6338
944,78000,223.4262
958,80000,228.6619
974,82000,162.8741
989,84000,231.0749
1001,86000,251.7668
1015,88000,174.1016
1029,90000,237.5427
1043,92000,224.5221
1057,94000,237.0168
1072,96000,223.2231
1085,98000,239.9167
1099,100000,222.3622
