episode,timestep,reward
8,2000,-129.7627
15,4000,-138.8392
17,6000,-614.4665
34,8000,-80.117
43,10000,-101.3204
51,12000,-136.7352
60,14000,-156.16
70,16000,-110.1761
78,18000,-168.151
89,20000,-95.6211
97,22000,-181.8273
104,24000,-121.2038
110,26000,-215.8062
122,28000,-136.6387
130,30000,-137.1284
137,32000,-216.7061
150,34000,-56.8642
162,36000,-151.717
175,38000,-105.8755
186,40000,-98.8264
206,42000,-77.475
218,44000,-121.9799
222,46000,-201.5099
235,48000,-153.0382
241,50000,-138.8088
255,52000,-117.063
269,54000,-96.4927
281,56000,-89.7413
285,58000,-244.975
295,60000,-135.0527
313,62000,-112.2933
323,64000,-113.4162
333,66000,-153.9193
343,68000,-132.2349
356,70000,-82.5503
359,72000,-501.5865
369,74000,-179.597
384,76000,-99.5265
402,78000,-54.0484
418,80000,-108.1191
