episode,timestep,reward
98,2000,88.1612
197,4000,87.945
291,6000,91.9317
385,8000,92.3296
474,10000,97.6252
562,12000,98.4901
648,14000,99.4497
742,16000,93.342
826,18000,101.796
909,20000,105.4395
992,22000,105.1235
1074,24000,105.694
1152,26000,110.6998
1227,28000,116.6652
1301,30000,117.386
1370,32000,124.3966
1435,34000,134.073
1505,36000,123.3056
1573,38000,130.1883
1635,40000,140.0593
1701,42000,134.896
1764,44000,138.247
1821,46000,155.7727
1878,48000,154.3803
1939,50000,143.2355
1990,52000,174.5953
2042,54000,170.2671
2095,56000,166.9024
2141,58000,191.782
2187,60000,191.7157
2231,62000,204.2204
2281,64000,174.5329
2322,66000,211.136
2367,68000,198.4675
2412,70000,195.749
2453,72000,212.1734
2496,74000,209.6808
2539,76000,204.8647
2578,78000,222.0341
2621,80000,204.3862
2662,82000,224.7183
2703,84000,211.6959
2741,86000,227.6346
2778,88000,236.2356
2815,90000,239.5507
2855,92000,216.1723
2892,94000,238.2637
2926,96000,254.6452
2963,98000,234.9222
3002,100000,219.8301
3039,102000,238.7576
3073,104000,251.6983
3108,106000,247.3619
3142,108000,254.3498
3175,110000,264.0569
3209,112000,254.1737
3245,114000,243.1634
3282,116000,241.6483
3318,118000,235.3857
3352,120000,252.3687
3389,122000,236.4016
3429,124000,222.9214
3463,126000,250.1976
3495,128000,267.1405
3527,130000,278.8894
3562,132000,241.0194
3597,134000,245.9635
3633,136000,244.6852
3667,138000,255.6179
3699,140000,268.8045
3731,142000,276.7759
3765,144000,252.4674
3798,146000,254.8379
3829,148000,286.2766
3862,150000,260.3707
3893,152000,286.8671
3925,154000,267.3181
3959,156000,262.9435
3990,158000,278.8604
4021,160000,276.8218
4055,162000,256.1604
4086,164000,281.4936
4117,166000,273.6784
4150,168000,261.0042
4181,170000,278.1954
4212,172000,280.0353
4241,174000,299.0768
4268,176000,305.8484
4300,178000,265.4064
4329,180000,292.9549
4357,182000,300.0747
4388,184000,280.7646
4416,186000,300.4562
4448,188000,268.7576
4479,190000,274.5179
4509,192000,278.1128
4540,194000,266.6065
4569,196000,304.8169
4599,198000,280.2522
4630,200000,283.2001
4660,202000,265.9212
4691,204000,274.4719
4723,206000,270.9612
4751,208000,298.397
4781,210000,283.0467
4811,212000,288.3819
4839,214000,294.0451
4866,216000,308.3903
4893,218000,314.3971
4925,220000,270.3565
4957,222000,262.2156
4987,224000,286.7471
5019,226000,267.1763
5048,228000,279.2727
5075,230000,316.0779
5106,232000,277.0503
5133,234000,305.3881
5162,236000,297.828
5192,238000,295.2157
