episode,timestep,reward
88,2000,-3.1477
177,4000,-3.5709
257,6000,0.2132
339,8000,-0.085
414,10000,3.8778
489,12000,2.3579
552,14000,8.1833
618,16000,6.4222
664,18000,22.3752
713,20000,20.2306
754,22000,26.4536
793,24000,33.0715
828,26000,41.308
858,28000,55.8435
889,30000,55.4728
912,32000,84.59
936,34000,86.1455
958,36000,81.3069
973,38000,134.6958
989,40000,151.8107
1004,42000,108.8076
1019,44000,155.009
1033,46000,145.9323
1048,48000,134.5745
1061,50000,196.3184
1074,52000,188.6018
1089,54000,129.9222
1103,56000,187.3901
1113,58000,233.2709
1123,60000,192.7977
1136,62000,210.0618
1147,64000,239.0766
1158,66000,232.081
1169,68000,188.0632
1179,70000,187.2107
1190,72000,230.1056
1203,74000,214.9199
1213,76000,185.2742
1224,78000,249.0621
1234,80000,233.4244
1246,82000,226.5072
1258,84000,229.0216
1272,86000,207.2024
1283,88000,174.6434
1293,90000,244.4595
1304,92000,255.331
1316,94000,203.9774
1324,96000,255.4487
1335,98000,241.5392
1345,100000,205.5467
1358,102000,224.2909
1368,104000,255.6653
1381,106000,236.4314
1391,108000,290.2705
1401,110000,297.1866
1412,112000,216.5394
1423,114000,224.8903
1433,116000,268.3404
1444,118000,235.6838
1457,120000,215.1025
1471,122000,213.6794
1484,124000,224.9284
1496,126000,230.0396
1507,128000,272.2633
1519,130000,267.7748
1530,132000,244.7125
1541,134000,243.4547
1554,136000,245.5802
1565,138000,283.9965
1576,140000,271.7767
1589,142000,234.4999
1602,144000,200.9505
1612,146000,242.5939
1623,148000,276.5552
1635,150000,261.4899
1645,152000,279.3475
1655,154000,262.6537
1666,156000,268.875
1677,158000,243.3551
1687,160000,290.8324
1696,162000,285.912
1706,164000,272.9096
1719,166000,245.5749
1730,168000,271.7574
1742,170000,252.8412
1753,172000,268.728
1765,174000,252.6396
1779,176000,205.1623
1792,178000,254.2151
1801,180000,248.3844
1813,182000,297.5575
1824,184000,258.6846
1834,186000,263.1661
1844,188000,283.8044
1854,190000,288.543
1866,192000,263.4994
1875,194000,293.134
1885,196000,274.0699
1897,198000,251.7316
1908,200000,263.511
1918,202000,309.1852
1928,204000,287.5067
1937,206000,319.3017
1946,208000,356.6772
1955,210000,274.0116
1964,212000,287.0047
1971,214000,377.6531
1980,216000,336.9226
1988,218000,298.6069
1997,220000,323.8619
2006,222000,299.6189
2017,224000,256.9269
2029,226000,279.4757
2040,228000,276.3788
2052,230000,264.8655
2062,232000,285.9638
2071,234000,320.3946
2079,236000,360.1933
2088,238000,350.404
2098,240000,320.1343
2109,242000,282.8277
2121,244000,277.9799
2132,246000,293.6088
2143,248000,288.9229
2151,250000,323.2722
2164,252000,269.6022
2174,254000,308.9871
2185,256000,282.2826
2194,258000,308.8523
2205,260000,309.5936
2217,262000,295.5946
2228,264000,304.9771
2237,266000,311.5657
2248,268000,310.2839
2259,270000,276.7254
2271,272000,298.9316
2282,274000,297.6286
2292,276000,309.3873
2301,278000,356.5976
2313,280000,272.5126
2324,282000,304.9355
2334,284000,341.4306
2343,286000,341.0115
2355,288000,280.8609
2366,290000,294.4585
2377,292000,298.7499
2389,294000,277.7113
2402,296000,283.5962
2413,298000,292.2044
2424,300000,303.044
2436,302000,256.3205
2445,304000,369.3481
2456,306000,300.888
2466,308000,325.1288
2477,310000,331.0489
2487,312000,315.8795
2499,314000,259.2059
2510,316000,326.8586
2521,318000,260.4984
2533,320000,307.8612
2544,322000,318.0799
2555,324000,308.1821
2566,326000,325.2947
2577,328000,299.8203
2586,330000,323.1907
2596,332000,317.5338
2604,334000,358.8872
2616,336000,308.5802
2628,338000,274.0948
2638,340000,318.0121
2651,342000,286.094
2662,344000,308.1556
2672,346000,313.9934
2683,348000,311.2222
2693,350000,336.7576
2705,352000,308.5919
2718,354000,265.2717
2728,356000,338.3749
2740,358000,303.2586
2749,360000,350.145
2762,362000,292.8668
2772,364000,332.291
2783,366000,328.0808
2793,368000,321.2209
2804,370000,313.2223
2815,372000,282.13
2827,374000,294.5514
2837,376000,343.3506
2846,378000,344.0917
2857,380000,310.7967
2868,382000,328.1309
2879,384000,309.0879
2891,386000,310.8052
2902,388000,298.3952
2910,390000,380.2616
2921,392000,302.2675
2932,394000,317.7928
2943,396000,316.0736
2952,398000,324.7337
2963,400000,303.6385
2974,402000,282.3631
2983,404000,347.8504
2993,406000,361.1268
3003,408000,345.9039
3015,410000,306.8989
3025,412000,331.9365
3034,414000,326.3839
3046,416000,322.2833
3057,418000,314.8755
3068,420000,310.6085
3079,422000,326.9721
3091,424000,313.9066
3100,426000,306.7106
3110,428000,309.1247
3119,430000,374.7235
3128,432000,303.1086
3136,434000,354.2372
3148,436000,309.9939
3159,438000,305.1565
3171,440000,299.0032
3182,442000,324.2631
3192,444000,349.5879
3199,446000,382.5728
3210,448000,320.2102
3222,450000,307.845
3234,452000,305.2359
3244,454000,326.0978
3255,456000,331.2483
3263,458000,327.6174
3273,460000,396.1277
3285,462000,320.8221
3293,464000,306.8108
3302,466000,382.0141
3314,468000,323.2108
3325,470000,328.519
3335,472000,361.3317
3344,474000,359.7014
3355,476000,332.8211
3364,478000,366.0674
3374,480000,329.0414
3384,482000,346.4672
3395,484000,343.0786
3405,486000,352.7217
3416,488000,326.1848
3425,490000,351.7195
3434,492000,384.0331
3444,494000,368.318
3454,496000,312.6524
