episode,timestep,reward
62,2000,9.2906
122,4000,9.9938
169,6000,16.5801
221,8000,12.7814
264,10000,20.9719
312,12000,19.2154
349,14000,30.9512
380,16000,48.5143
407,18000,47.3491
431,20000,58.2807
460,22000,38.9905
484,24000,72.1876
507,26000,64.5555
525,28000,88.0196
541,30000,113.5812
557,32000,103.7064
577,34000,71.4652
593,36000,104.3488
607,38000,119.8351
625,40000,93.7559
639,42000,141.804
653,44000,133.3086
666,46000,161.027
679,48000,100.2829
694,50000,121.9449
706,52000,118.4909
719,54000,159.0737
730,56000,168.3424
743,58000,168.8296
756,60000,222.4362
766,62000,196.5848
779,64000,157.6097
792,66000,145.8196
803,68000,231.5901
815,70000,186.3799
825,72000,208.2859
835,74000,180.3273
846,76000,178.559
856,78000,183.1616
867,80000,183.5498
878,82000,182.8387
889,84000,207.1506
900,86000,176.0594
908,88000,305.0
917,90000,229.236
926,92000,222.402
939,94000,248.2227
949,96000,289.8766
959,98000,247.4673
967,100000,336.3153
