#{"t_start": 1697065919.4770072, "env_id": "AntObstacleHighLevel-v0"}
r,l,t
568.471527,1000,37.633164
674.805861,1000,80.997787
534.926463,1000,125.492458
364.576972,1000,168.156972
454.207443,1000,209.494919
542.944043,1000,248.92748
512.361521,1000,297.919171
520.204008,1000,337.38164
527.318641,1000,376.395915
573.458863,1000,415.788717
386.683827,1000,454.90252
570.145591,1000,495.42438
1019.067341,1000,548.865783
602.334711,1000,593.423101
659.647425,1000,633.307159
693.767114,1000,673.638897
707.084903,1000,712.753534
874.230414,1000,751.728785
887.739185,1000,800.473527
693.756205,1000,840.215391
581.168519,1000,880.717292
636.10391,1000,914.518376
763.00042,1000,955.443911
482.830342,1000,1001.293503
837.907168,1000,1047.838
553.905597,1000,1106.465613
629.15001,1000,1153.659144
703.442333,1000,1199.87868
590.47458,1000,1245.92704
783.312298,1000,1291.756486
724.073569,1000,1336.1072
501.46381,1000,1386.11274
951.765327,1000,1425.705649
1133.713506,1000,1465.039861
716.147177,1000,1504.337608
727.760582,1000,1546.376177
972.499898,1000,1590.360175
660.565987,1000,1645.855136
649.021958,1000,1685.860459
613.73789,1000,1725.082475
738.634919,1000,1764.20802
645.569732,1000,1803.292283
735.940084,1000,1836.563729
802.525705,1000,1885.337712
669.008377,1000,1924.352577
561.253963,1000,1963.624214
726.418747,1000,2002.755238
626.823508,1000,2041.773421
736.444974,1000,2082.042798
729.427896,1000,2123.428452
1285.937896,1000,2179.390346
721.167034,1000,2223.743344
815.531102,1000,2266.778509
616.792682,1000,2309.021027
1247.892735,1000,2354.355892
747.031949,1000,2398.382831
775.847865,1000,2454.069074
801.33422,1000,2498.594726
786.208365,1000,2544.703676
797.135114,1000,2587.002115
807.621675,1000,2632.119689
735.708628,1000,2675.857304
718.164286,1000,2732.692406
816.853169,1000,2770.936122
659.647187,1000,2815.714049
629.783161,1000,2860.222051
1107.720075,1000,2906.164494
794.979109,1000,2950.359968
1205.370344,1000,3009.438434
794.570611,1000,3055.946437
627.636149,1000,3100.46345
847.004714,1000,3145.294549
842.7099,1000,3192.750728
1133.892108,1000,3237.434583
781.061776,1000,3282.117241
887.01637,1000,3338.753709
800.824765,1000,3382.458141
884.236115,1000,3428.869973
720.659823,1000,3474.461127
815.201241,1000,3520.880274
1061.028929,1000,3566.47824
753.68403,1000,3623.829156
772.437793,1000,3669.417975
563.962047,1000,3713.194236
651.480829,1000,3759.378215
520.635486,1000,3798.04985
522.476121,1000,3845.589223
681.652621,1000,3903.664991
1385.136477,1000,3957.11372
713.414556,1000,4004.280913
1406.178339,1000,4049.415643
724.295925,1000,4093.702555
1460.592324,1000,4136.156824
1086.604138,1000,4186.726645
674.779094,1000,4229.063892
585.489078,1000,4272.574911
573.859253,1000,4320.122525
504.534279,1000,4365.960238
578.751337,1000,4412.310058
711.549927,1000,4459.43041
669.334515,1000,4518.201885
950.5539,1000,4566.224688
612.924466,1000,4612.540536
517.378779,1000,4657.561716
1066.672727,1000,4702.055926
444.858137,1000,4745.486538
1128.521392,1000,4794.536168
992.283159,1000,4837.841803
708.716698,1000,4882.4462
791.909612,1000,4927.117097
685.856806,1000,4972.240685
1374.529609,1000,5014.388608
771.439924,1000,5066.384889
582.236827,1000,5112.003178
519.513963,1000,5153.555264
652.244691,1000,5201.587891
619.826454,1000,5245.802394
734.961146,1000,5289.301339
698.563987,1000,5343.949884
730.89732,1000,5389.997076
955.038213,1000,5435.852725
630.452418,1000,5480.757097
777.081679,1000,5526.647518
590.614054,1000,5571.514861
791.63957,1000,5616.261392
