#{"t_start": 1696036225.001837, "env_id": "AntTargetPosBulletEnv-v0"}
r,l,t
515.89988,1000,21.359533
459.043071,1000,52.158976
411.210679,1000,83.179525
434.244129,1000,113.195253
477.550692,1000,143.318956
477.825733,1000,173.797136
525.621318,1000,209.314067
533.013357,1000,240.127355
508.817833,1000,270.302491
487.260324,1000,300.737806
517.479448,1000,332.303829
491.221924,1000,362.952594
490.34333,1000,392.509013
520.584738,1000,421.152349
504.173909,1000,451.196842
506.67274,1000,481.746567
543.135873,1000,513.239182
609.504017,1000,543.435542
423.698975,1000,578.884068
564.658894,1000,608.96841
581.919657,1000,639.228406
608.657156,1000,660.501086
609.815994,1000,689.588868
595.6706,1000,718.152968
689.621502,1000,746.623154
614.973369,1000,779.499751
681.664877,1000,808.102195
676.11155,1000,838.214063
713.993105,1000,868.431545
783.663968,1000,897.355175
827.726315,1000,925.952741
847.147559,1000,959.776206
771.40966,1000,988.356228
807.399393,1000,1017.041399
811.292226,1000,1046.015141
868.392633,1000,1075.257018
847.845254,1000,1106.46026
840.452446,1000,1142.689361
959.089755,1000,1172.656832
659.988379,1000,1202.904098
978.583256,1000,1231.5355
956.18004,1000,1259.901265
828.138384,1000,1280.094609
761.358044,1000,1313.769686
927.989178,1000,1342.508615
1056.136033,1000,1371.485736
1143.173059,1000,1399.753957
988.242215,1000,1428.344715
1060.207563,1000,1456.94741
1093.151005,1000,1485.133086
1204.66341,1000,1518.750066
1212.632675,1000,1549.624213
1119.816755,1000,1578.19047
1252.529641,1000,1606.648951
1145.899276,1000,1634.966601
1180.166921,1000,1663.392194
995.839519,1000,1696.991612
931.570712,1000,1727.450817
965.258924,1000,1756.120751
