#{"t_start": 1697065919.4892979, "env_id": "AntObstacleHighLevel-v0"}
r,l,t
460.457272,1000,37.641507
580.908288,1000,81.005506
551.768247,1000,125.500184
670.909436,1000,168.161459
483.174771,1000,209.497662
528.350901,1000,248.930705
352.411901,1000,297.923972
496.240813,1000,337.384594
611.186312,1000,376.398588
621.252157,1000,415.79459
460.499142,1000,454.905452
509.578272,1000,495.427696
634.699094,1000,548.869722
685.01192,1000,593.424181
602.472274,1000,633.310816
569.451368,1000,673.639521
691.849407,1000,712.755324
749.010397,1000,751.735636
776.841485,1000,800.474097
684.665633,1000,840.217984
666.022738,1000,880.718478
792.087012,1000,914.518882
711.019441,1000,955.447399
539.30204,1000,1001.302319
973.509455,1000,1047.840814
668.921953,1000,1106.470172
675.768854,1000,1153.665857
727.834701,1000,1199.881938
727.420752,1000,1245.931511
775.554294,1000,1291.758222
925.372421,1000,1336.110304
535.209298,1000,1386.113313
738.999661,1000,1425.706227
695.762109,1000,1465.040757
682.713363,1000,1504.338081
606.025943,1000,1546.382936
486.982987,1000,1590.364578
731.15017,1000,1645.858281
723.265626,1000,1685.863347
780.540033,1000,1725.082819
780.272216,1000,1764.211608
802.402619,1000,1803.293303
610.687057,1000,1836.565266
714.049933,1000,1885.340667
686.076951,1000,1924.353619
731.703779,1000,1963.625603
1070.558054,1000,2002.756013
836.743807,1000,2041.774821
914.300958,1000,2082.046203
1239.517203,1000,2123.429507
573.804378,1000,2179.393374
758.117611,1000,2223.744017
800.254368,1000,2266.781215
790.057432,1000,2309.025884
604.907082,1000,2354.358607
895.450635,1000,2398.386438
1078.148456,1000,2454.069881
1021.590231,1000,2498.600415
609.551823,1000,2544.711613
786.643708,1000,2587.006534
1151.418529,1000,2632.122231
860.744622,1000,2675.859552
1048.49542,1000,2732.696634
573.656065,1000,2770.937396
970.167056,1000,2815.716328
1328.700665,1000,2860.226507
561.133463,1000,2906.165546
1182.249606,1000,2950.364068
516.042432,1000,3009.445429
1108.773354,1000,3055.950317
770.387032,1000,3100.466031
730.020799,1000,3145.298896
1140.351137,1000,3192.754465
716.759161,1000,3237.437728
704.645135,1000,3282.11864
721.970092,1000,3338.75701
583.395385,1000,3382.459724
819.100867,1000,3428.876397
763.542946,1000,3474.466858
849.322965,1000,3520.884414
524.334353,1000,3566.483133
718.172616,1000,3623.831852
984.855542,1000,3669.41997
1175.768495,1000,3713.196398
853.062585,1000,3759.383095
798.496722,1000,3798.05095
818.477081,1000,3845.595145
602.517167,1000,3903.666718
967.659994,1000,3957.114801
837.184445,1000,4004.284669
900.218765,1000,4049.418572
1161.273377,1000,4093.704463
613.977125,1000,4136.157433
845.728147,1000,4186.727795
1005.943288,1000,4229.066796
713.687569,1000,4272.580379
570.051928,1000,4320.127076
1340.40222,1000,4365.966907
759.337158,1000,4412.314164
572.83487,1000,4459.435799
703.35337,1000,4518.204549
814.047705,1000,4566.225852
1211.884488,1000,4612.544412
1228.837673,1000,4657.56557
763.722395,1000,4702.057944
697.684699,1000,4745.490859
707.391315,1000,4794.539392
749.714265,1000,4837.847085
592.944864,1000,4882.447608
583.666373,1000,4927.121111
597.698815,1000,4972.242315
735.804084,1000,5014.393748
673.116566,1000,5066.386062
966.112059,1000,5112.006596
715.976779,1000,5153.558155
925.595293,1000,5201.590514
582.436647,1000,5245.807563
705.205158,1000,5289.305579
632.23964,1000,5343.955855
756.787398,1000,5389.998503
764.029537,1000,5435.856353
743.061808,1000,5480.758479
561.554027,1000,5526.651735
622.47448,1000,5571.518891
812.524429,1000,5616.26642
