,original_state,end_state,action,episode
0,"[ 0.71450275  0.9968218  -0.05879304  0.03674331  0.03923672  0.03946123
 -0.00603339  0.06114345  0.00539956  0.05032598 -0.02499165 -0.04445424
 -0.08594686  0.04000016 -0.00665868  0.01253972  0.01468248 -0.04422333
  0.1893609   0.09131697  0.1373777  -0.01890409  0.00501615 -0.17212796
 -0.11612817 -0.12005268 -0.07347793]","[ 7.3824722e-01  9.9651909e-01 -6.1392181e-02  3.2373875e-02
  4.6180047e-02  2.8905287e-02  4.2502606e-01  5.6488268e-02
 -4.2428985e-01  3.5001304e-02 -4.2986554e-01 -4.7563821e-02
  4.0575927e-01  5.9137758e-02  8.2320958e-02  2.5751075e-01
 -1.1813336e-01 -1.8350652e-01  3.3637026e-01 -5.0816464e-01
  9.5470104e+00 -1.6572683e-01 -9.5473423e+00 -4.3945700e-01
 -8.9329596e+00 -5.1200124e-03  1.0809864e+01]","[ 0.01591992 -0.02096438 -0.08277494  0.01692462 -0.01994902 -0.01921511
 -0.03765225 -0.00351995]",0.0
0,"[ 7.3824722e-01  9.9651909e-01 -6.1392181e-02  3.2373875e-02
  4.6180047e-02  2.8905287e-02  4.2502606e-01  5.6488268e-02
 -4.2428985e-01  3.5001304e-02 -4.2986554e-01 -4.7563821e-02
  4.0575927e-01  5.9137758e-02  8.2320958e-02  2.5751075e-01
 -1.1813336e-01 -1.8350652e-01  3.3637026e-01 -5.0816464e-01
  9.5470104e+00 -1.6572683e-01 -9.5473423e+00 -4.3945700e-01
 -8.9329596e+00 -5.1200124e-03  1.0809864e+01]","[ 7.3323423e-01  9.9513835e-01 -6.4500786e-02  3.0174933e-02
  6.8035342e-02 -2.1575514e-02  9.0848434e-01 -5.9879288e-02
 -8.6635870e-01 -7.0938773e-02 -8.6814237e-01 -1.6275942e-02
  9.0318984e-01 -2.4184873e-03 -1.4957982e-01 -4.7312027e-01
 -2.0624915e-01 -6.8880618e-02  1.3451027e+00 -1.5020168e+00
  9.7891665e+00 -4.4583039e+00 -8.1463318e+00 -3.7735746e+00
 -8.6004839e+00  1.2529751e+00  9.1008873e+00]","[ 0.17707205 -0.16277981 -0.1382317   0.09813774 -0.5929049   0.128569
 -0.4617455  -0.01386476]",1.0
0,"[ 7.3323423e-01  9.9513835e-01 -6.4500786e-02  3.0174933e-02
  6.8035342e-02 -2.1575514e-02  9.0848434e-01 -5.9879288e-02
 -8.6635870e-01 -7.0938773e-02 -8.6814237e-01 -1.6275942e-02
  9.0318984e-01 -2.4184873e-03 -1.4957982e-01 -4.7312027e-01
 -2.0624915e-01 -6.8880618e-02  1.3451027e+00 -1.5020168e+00
  9.7891665e+00 -4.4583039e+00 -8.1463318e+00 -3.7735746e+00
 -8.6004839e+00  1.2529751e+00  9.1008873e+00]","[ 0.69877815  0.9920807  -0.05382399  0.02030651  0.1116536  -0.13528764
  1.2937312  -0.3931224  -1.2424738  -0.3502553  -1.2426816   0.07769945
  1.2710631  -0.55009025 -0.7972771  -0.5404026   1.3510587  -1.4475145
  2.240331   -3.0308077   0.29894787 -8.851964   -3.207912   -7.3750515
 -3.0165606   2.5037625   1.6981646 ]","[ 0.18007064 -0.21634185 -0.21769398  0.10154521 -0.63046676  0.01082134
 -0.518536    0.14747739]",2.0
0,"[ 0.69877815  0.9920807  -0.05382399  0.02030651  0.1116536  -0.13528764
  1.2937312  -0.3931224  -1.2424738  -0.3502553  -1.2426816   0.07769945
  1.2710631  -0.55009025 -0.7972771  -0.5404026   1.3510587  -1.4475145
  2.240331   -3.0308077   0.29894787 -8.851964   -3.207912   -7.3750515
 -3.0165606   2.5037625   1.6981646 ]","[ 0.6588739   0.9890224  -0.0059295  -0.01444105  0.14693879 -0.32285577
  1.228418   -0.567227   -1.2412058  -0.5731411  -1.2235974   0.26271847
  1.2405092  -0.5594594  -0.59420353 -1.114192    2.094391   -1.7858676
  0.21842755 -4.464561   -1.8693732   0.9262179   0.5995151   0.6624791
  1.9390992   4.877488   -0.9844523 ]","[ 0.34120584  0.00711834 -0.22429413 -0.12708843 -0.41760135 -0.17759943
 -0.21223903  0.34975445]",3.0
0,"[ 0.6588739   0.9890224  -0.0059295  -0.01444105  0.14693879 -0.32285577
  1.228418   -0.567227   -1.2412058  -0.5731411  -1.2235974   0.26271847
  1.2405092  -0.5594594  -0.59420353 -1.114192    2.094391   -1.7858676
  0.21842755 -4.464561   -1.8693732   0.9262179   0.5995151   0.6624791
  1.9390992   4.877488   -0.9844523 ]","[ 0.63595945  0.9881471   0.01971644 -0.0127598   0.15170307 -0.5559645
  1.1247253  -0.53239167 -1.214324   -0.52265096 -1.1633652   0.55221194
  1.1965592   0.484311    0.29452217 -0.14317606  0.24141352  0.9331836
 -0.10211766 -1.9218707  -2.2731452   0.3293597   0.4796936   1.1767566
  0.5887457   5.4065013  -0.778193  ]","[ 0.28517497  0.02249527 -0.16858739 -0.06644505 -0.11098754 -0.012137
  0.05844629 -0.11791027]",4.0
0,"[ 0.63595945  0.9881471   0.01971644 -0.0127598   0.15170307 -0.5559645
  1.1247253  -0.53239167 -1.214324   -0.52265096 -1.1633652   0.55221194
  1.1965592   0.484311    0.29452217 -0.14317606  0.24141352  0.9331836
 -0.10211766 -1.9218707  -2.2731452   0.3293597   0.4796936   1.1767566
  0.5887457   5.4065013  -0.778193  ]","[ 0.623532    0.9874726   0.02181486  0.00795691  0.15607268 -0.5410567
  0.9914528  -0.52494425 -1.1808221  -0.4537481  -1.155394    0.5541656
  1.1665164  -0.02851834  0.5090874  -0.07133388 -0.46845612  0.07816765
  0.22264801  0.5622059  -3.048116    0.04722194  0.8617325   1.587734
 -0.269013   -0.9576539  -0.34706914]","[ 0.1038692   0.03535485 -0.13933319 -0.1227777  -0.07854879  0.05582762
  0.0659076  -0.11454791]",5.0
0,"[ 0.623532    0.9874726   0.02181486  0.00795691  0.15607268 -0.5410567
  0.9914528  -0.52494425 -1.1808221  -0.4537481  -1.155394    0.5541656
  1.1665164  -0.02851834  0.5090874  -0.07133388 -0.46845612  0.07816765
  0.22264801  0.5622059  -3.048116    0.04722194  0.8617325   1.587734
 -0.269013   -0.9576539  -0.34706914]","[ 6.1493760e-01  9.8715687e-01  3.5084323e-03  3.4356469e-03
  1.5967852e-01 -5.2666855e-01  8.1846970e-01 -5.2395034e-01
 -1.1380016e+00 -3.5704941e-01 -1.1919831e+00  5.1358575e-01
  1.1397685e+00 -2.6122081e-01  5.5456227e-01 -3.6928099e-01
 -8.2726908e-01  1.4846809e-01  1.3506833e-03  1.0481049e-01
 -3.8673177e+00  4.1537406e-03  8.4917367e-01  2.2679608e+00
 -1.1815794e+00 -6.7416865e-01 -7.5519747e-01]","[ 0.03083491 -0.06467521 -0.16987336 -0.13274491 -0.05403858  0.00415218
  0.10455394 -0.127541  ]",6.0
0,"[ 6.1493760e-01  9.8715687e-01  3.5084323e-03  3.4356469e-03
  1.5967852e-01 -5.2666855e-01  8.1846970e-01 -5.2395034e-01
 -1.1380016e+00 -3.5704941e-01 -1.1919831e+00  5.1358575e-01
  1.1397685e+00 -2.6122081e-01  5.5456227e-01 -3.6928099e-01
 -8.2726908e-01  1.4846809e-01  1.3506833e-03  1.0481049e-01
 -3.8673177e+00  4.1537406e-03  8.4917367e-01  2.2679608e+00
 -1.1815794e+00 -6.7416865e-01 -7.5519747e-01]","[ 6.0327959e-01  9.8731482e-01 -1.8077845e-02  1.2833298e-02
  1.5721926e-01 -5.2449083e-01  6.0440034e-01 -5.2397829e-01
 -1.0973028e+00 -2.3351763e-01 -1.2317374e+00  4.8768803e-01
  1.1023446e+00 -1.3125135e-01  3.1336585e-01  1.7880239e-01
 -3.0467397e-01  6.2140787e-01  1.7071833e-01  1.2322546e-02
 -4.6793952e+00 -1.5505053e-03  6.8954837e-01  2.6828985e+00
  1.3637960e-01 -3.7319914e-01 -7.1805805e-01]","[ 2.86737680e-02 -4.78029251e-05 -2.08787501e-01 -1.39135301e-01
 -7.06529021e-02  7.32588768e-03  7.97948837e-02 -1.18921995e-01]",7.0
0,"[ 6.0327959e-01  9.8731482e-01 -1.8077845e-02  1.2833298e-02
  1.5721926e-01 -5.2449083e-01  6.0440034e-01 -5.2397829e-01
 -1.0973028e+00 -2.3351763e-01 -1.2317374e+00  4.8768803e-01
  1.1023446e+00 -1.3125135e-01  3.1336585e-01  1.7880239e-01
 -3.0467397e-01  6.2140787e-01  1.7071833e-01  1.2322546e-02
 -4.6793952e+00 -1.5505053e-03  6.8954837e-01  2.6828985e+00
  1.3637960e-01 -3.7319914e-01 -7.1805805e-01]","[ 6.0728145e-01  9.8651755e-01 -2.3757663e-02  1.9752733e-02
  1.6071248e-01 -5.2433211e-01  4.8865512e-01 -5.2395827e-01
 -1.0696064e+00 -8.8583767e-02 -1.2242838e+00  4.6910590e-01
  1.0603539e+00 -1.9837239e-01  3.0489123e-01 -1.0619812e-01
 -8.8668847e-03 -1.7097542e-02  8.9332551e-02 -4.7654801e-04
  6.8047404e-01  4.9209094e-04  4.3267450e-01  3.1115689e+00
  8.2293406e-02 -3.7584236e-01 -9.7248113e-01]","[-0.00380069 -0.0435577  -0.22185701 -0.0986079  -0.06311661 -0.02859128
  0.07691586 -0.11318618]",8.0
0,"[ 6.0728145e-01  9.8651755e-01 -2.3757663e-02  1.9752733e-02
  1.6071248e-01 -5.2433211e-01  4.8865512e-01 -5.2395827e-01
 -1.0696064e+00 -8.8583767e-02 -1.2242838e+00  4.6910590e-01
  1.0603539e+00 -1.9837239e-01  3.0489123e-01 -1.0619812e-01
 -8.8668847e-03 -1.7097542e-02  8.9332551e-02 -4.7654801e-04
  6.8047404e-01  4.9209094e-04  4.3267450e-01  3.1115689e+00
  8.2293406e-02 -3.7584236e-01 -9.7248113e-01]","[ 5.90496123e-01  9.86438036e-01 -2.36038100e-02  2.10218895e-02
  1.61061987e-01 -5.24155676e-01  5.19678116e-01 -5.18746614e-01
 -1.04282260e+00  8.76919478e-02 -1.22268689e+00  4.60173339e-01
  1.00505006e+00 -1.00560635e-01  1.49515972e-01 -4.29204226e-01
  3.05433273e-01  3.51584792e-01  4.24977466e-02  1.58555619e-03
  4.51832592e-01  1.99630782e-01  5.98598957e-01  3.92911315e+00
  7.95463845e-03  1.57184768e-02 -1.23872149e+00]","[ 0.05105662 -0.04272133 -0.12675416 -0.04389012  0.02846456  0.03242528
  0.13379157 -0.2635001 ]",9.0
