#{"t_start": 1696484020.2363222, "env_id": "AntObstacleHighLevel-v0"}
r,l,t
338.985473,1000,31.472971
279.230389,1000,65.720663
355.129861,1000,99.276271
345.834411,1000,134.248683
438.965447,1000,172.612812
484.056124,1000,208.780984
481.557898,1000,246.972418
332.558168,1000,283.939139
469.446822,1000,322.105027
454.237961,1000,358.904654
421.813551,1000,397.486356
455.264615,1000,435.839394
462.901536,1000,484.431125
443.923063,1000,520.553455
540.020058,1000,558.798591
490.187158,1000,596.512272
482.721626,1000,635.089477
486.855148,1000,673.774862
569.407284,1000,723.311793
581.881852,1000,760.031104
510.899894,1000,796.785716
570.93144,1000,831.213262
611.537345,1000,869.786329
