#{"t_start": 1696036225.0012531, "env_id": "AntTargetPosBulletEnv-v0"}
r,l,t
484.171656,1000,21.358972
468.823855,1000,52.1581
479.206574,1000,83.178638
469.240376,1000,113.19445
510.311237,1000,143.318091
441.296203,1000,173.79619
447.210648,1000,209.313452
475.528019,1000,240.126764
513.726083,1000,270.301849
528.729944,1000,300.737303
549.787215,1000,332.302926
537.148076,1000,362.952044
569.159217,1000,392.508517
400.945606,1000,421.151784
522.732871,1000,451.19598
-0.378075,21,451.503438
504.997096,1000,482.028083
567.522101,1000,513.547601
513.942264,1000,543.683021
595.371265,1000,579.191552
429.103229,1000,609.248708
561.978152,1000,639.490136
422.845056,1000,669.434218
655.174874,1000,689.835264
-0.085668,21,698.340316
555.26281,1000,718.655377
636.201308,1000,751.509523
614.37048,1000,780.012958
674.942479,1000,808.611626
698.473685,1000,838.755312
698.908858,1000,869.055869
627.687813,1000,897.863223
691.555435,1000,926.455991
659.940731,1000,960.286794
861.278294,1000,988.865452
801.093579,1000,1017.575262
817.458886,1000,1046.532872
833.699354,1000,1075.80264
930.831385,1000,1107.021988
682.187985,1000,1143.20311
954.475463,1000,1173.175888
976.470726,1000,1203.424158
971.012903,1000,1232.04492
990.404433,1000,1260.398905
1009.159896,1000,1288.653535
988.973429,1000,1322.423352
1059.008075,1000,1343.036372
904.799063,1000,1371.995778
960.732263,1000,1400.248647
922.294162,1000,1428.878041
948.566931,1000,1457.460184
1081.966693,1000,1490.867912
1095.422839,1000,1519.254208
921.075346,1000,1550.138488
1085.203322,1000,1578.763883
1069.230367,1000,1607.153774
1233.071136,1000,1635.466452
1048.865035,1000,1663.891772
1252.417217,1000,1697.491456
1008.673104,1000,1727.951862
1050.859735,1000,1756.66146
