#{"t_start": 1696815387.781674, "env_id": "AntTargetPosHighLevel-v0"}
r,l,t
314.127362,1000,38.824474
466.472394,1000,82.876463
214.393469,1000,127.621583
529.164045,1000,166.093511
314.713708,1000,203.504892
561.685861,1000,241.044847
742.024521,1000,286.126197
543.82567,1000,323.517375
670.557524,1000,360.867955
504.804664,1000,398.248064
424.314845,1000,435.837161
835.487428,1000,474.914202
832.800711,1000,528.118289
789.380279,1000,571.746387
771.33165,1000,616.097914
654.660618,1000,659.494124
999.978038,1000,703.010244
611.887407,1000,747.121592
785.336134,1000,799.575414
405.020725,1000,841.663942
1059.26634,1000,884.709879
1025.543052,1000,919.725901
758.834081,1000,962.517304
927.405162,1000,1007.029879
