#{"t_start": 1696036224.997044, "env_id": "AntTargetPosBulletEnv-v0"}
r,l,t
458.33493,1000,21.35588
452.359676,1000,52.153546
442.071879,1000,83.174196
448.885481,1000,113.189947
422.927408,1000,143.313644
467.572644,1000,173.792909
478.937253,1000,209.309641
463.817589,1000,240.123572
523.131633,1000,270.299054
516.51487,1000,300.735334
537.139132,1000,332.299372
485.444592,1000,362.949086
522.915902,1000,392.506759
410.591996,1000,421.149354
402.422008,1000,451.193117
549.475486,1000,481.743699
516.60466,1000,513.236128
602.202242,1000,543.432639
434.550128,1000,578.882071
629.317657,1000,608.965635
623.459674,1000,639.225794
628.755064,1000,660.498063
608.946439,1000,689.587646
633.60329,1000,718.152272
522.819918,1000,746.622361
672.533886,1000,779.498728
641.631135,1000,808.100569
716.09846,1000,838.21258
706.625577,1000,868.429244
766.169987,1000,897.352655
767.129709,1000,925.952155
834.992212,1000,959.775672
752.469863,1000,988.354986
774.318562,1000,1017.039994
918.036476,1000,1046.014978
828.1853,1000,1075.256403
828.588403,1000,1106.458416
822.151314,1000,1142.689258
644.968424,1000,1172.65615
1.04218,21,1172.917355
774.935635,1000,1203.167291
1020.056127,1000,1231.795752
903.096514,1000,1260.151403
910.742587,1000,1288.400323
825.353215,1000,1314.019248
1050.04617,1000,1342.777939
947.885064,1000,1371.743294
1015.524524,1000,1400.004901
1046.445731,1000,1428.601957
1051.13321,1000,1457.203545
1093.685847,1000,1490.621009
982.323067,1000,1519.002984
1165.322718,1000,1549.880296
1177.16114,1000,1578.491328
993.238197,1000,1606.899952
1160.855801,1000,1635.219238
1105.883033,1000,1663.643492
1160.853426,1000,1697.240293
911.237577,1000,1727.698299
1172.995648,1000,1756.39901
