#{"t_start": 1697241667.366524, "env_id": "AntTargetPosVelocityHighLevel-v0"}
r,l,t
-573.407345,1000,34.782873
365.440879,1000,78.271472
421.850483,1000,119.729481
430.232594,1000,162.047197
414.732863,1000,205.97529
155.425294,434,225.565086
311.198684,1000,273.235063
99.180507,321,288.945349
547.557853,1000,330.640534
-1.340862,20,331.247969
546.64874,1000,373.342251
462.050341,1000,415.141141
352.68938,1000,457.933225
289.655598,1000,492.779026
579.12062,1000,547.685168
584.163343,1000,591.387093
268.735701,1000,632.438301
615.684031,1000,673.886392
312.991221,832,711.281902
337.267807,1000,753.103679
520.799408,1000,796.628454
473.593535,1000,849.357178
639.605483,1000,892.185383
686.146452,1000,932.668574
672.480436,1000,974.464585
613.664721,1000,1017.995694
686.823127,1000,1059.076731
