#{"t_start": 1697240971.955159, "env_id": "HumanoidTargetPosHighLevel-v0"}
r,l,t
3075.247154,49,0.255043
2574.288139,41,0.367312
3145.62409,51,0.535633
3012.884118,48,0.663505
3099.413652,50,0.800305
2228.819804,36,0.91076
2459.723339,40,1.023285
3266.826006,52,1.159118
2508.559742,40,1.280112
3007.239563,48,1.412168
2814.528764,45,1.526288
2492.858408,40,1.764457
1296.227344,21,1.824783
1604.020364,26,1.89986
2029.209228,33,1.994457
2928.855868,47,2.127791
2375.652003,38,2.236069
2779.842835,45,2.361559
2574.68234,42,2.476095
3059.866487,49,2.607116
2763.685868,44,2.726359
1782.694214,29,2.806899
2545.265116,41,2.930378
3175.088256,51,3.068788
2574.458573,41,3.247257
3129.809044,50,3.377646
2550.253455,41,3.487321
2213.116976,36,3.579094
3129.67846,51,3.732739
3884.015544,62,3.928232
2370.716931,38,4.038213
3519.788979,57,4.203011
3082.375736,50,4.349398
2925.438562,47,4.492032
2488.848541,40,4.614959
2093.982497,34,4.795155
3522.655696,57,4.968735
1733.895367,28,5.047426
3558.698188,57,5.211073
1748.57252,28,5.290199
3060.77338,49,5.436141
1744.223366,28,5.513835
3182.164559,51,5.716033
3240.515645,52,5.903656
2695.454225,43,6.054209
3636.921097,58,6.291396
3202.300662,51,6.534323
3198.306396,52,6.704205
2666.521069,43,6.836084
2875.327749,46,6.965556
3262.667686,52,7.097715
1929.05794,31,7.178403
1299.930294,21,7.232751
3190.275192,52,7.373541
2640.000219,42,7.480616
2555.180432,41,7.587582
1929.053092,31,7.669943
1906.010221,31,7.764086
1418.589774,23,7.859057
3078.108236,49,8.092333
2573.130011,41,8.209992
3058.520913,49,8.36038
2746.683164,44,8.494473
3249.701195,52,8.645072
2893.01405,47,8.798573
1619.514724,26,8.881618
3442.170857,55,9.056626
2818.936344,45,9.187087
3294.743975,53,9.347436
1804.668043,29,9.431231
1993.285937,32,9.516406
2295.437315,37,9.702987
2514.512859,41,9.817901
1487.233224,24,9.884804
2697.417957,43,10.013227
2505.582579,40,10.119446
2707.137948,44,10.234821
2881.677066,46,10.374664
2702.15272,44,10.498763
2951.460209,48,10.631914
2127.281894,34,10.733659
3107.204632,50,10.864951
2633.637586,43,11.00077
2500.02914,40,11.113925
2552.209425,41,11.307423
2240.509184,36,11.416579
1670.706073,27,11.486122
3000.440351,48,11.618069
1673.202602,27,11.702501
2638.804514,43,11.816951
1930.503719,31,11.899723
2561.493456,41,12.021927
2491.669151,40,12.128047
3825.688729,61,12.288308
1304.469304,21,12.345173
3373.425292,54,12.486583
3061.218467,49,12.614185
1988.990485,32,12.782652
3871.586723,63,12.967234
2596.928527,42,13.077903
2929.363622,47,13.219081
2628.505876,42,13.332355
3138.194055,50,13.469965
3314.884793,54,13.623804
2549.003916,41,13.735985
1298.780402,21,13.79859
2797.009109,45,13.933712
1174.046682,19,13.985284
3306.905761,53,14.121693
1235.553813,20,14.252898
2941.032511,47,14.380425
3445.390696,56,14.526597
2951.000649,47,14.648097
3886.550046,62,14.813803
1925.246999,31,14.895591
2089.932359,34,14.991276
2209.782932,36,15.092949
2799.307626,45,15.216767
2444.683542,39,15.32746
2934.226503,47,15.457875
1173.029177,19,15.508777
3484.772509,56,15.748943
1811.447235,29,15.827216
1865.452747,30,15.905954
2334.72011,38,16.012937
3284.150154,53,16.148703
1172.479333,19,16.204758
2803.544566,45,16.328496
1495.76018,24,16.401819
2625.303282,42,16.546409
3054.834746,49,16.715531
2953.452646,48,16.887491
1494.05797,24,16.968837
3013.89931,48,17.133688
1913.546546,31,17.240309
2247.632016,36,17.420683
3208.496988,52,17.570671
3385.102037,54,17.710758
1619.062992,26,17.785827
2970.50254,48,17.928377
2554.780387,41,18.049527
3629.157934,58,18.2046
3396.865376,55,18.376344
3459.50468,56,18.53221
1751.787289,28,18.62417
2621.150607,42,18.79422
1798.864372,29,18.962993
2397.096542,39,19.09786
1423.144106,23,19.168783
3064.403911,49,19.328594
2351.899873,38,19.443316
3138.778522,50,19.590759
2126.622455,34,19.689965
3693.836951,59,19.878176
1172.318189,19,19.933774
3151.12999,51,20.080931
4532.608417,73,20.281701
3323.67878,53,20.429254
1359.578297,22,20.567246
3117.303143,50,20.71597
2356.21437,38,20.819839
2574.105353,41,20.977554
1809.312204,29,21.066913
3452.721553,55,21.238992
2170.540886,35,21.349414
2271.743009,37,21.476316
2830.271251,46,21.627762
3002.726767,48,21.778018
1726.710363,28,21.854786
3391.130971,54,22.012264
3149.489824,51,22.233331
1749.004287,28,22.313406
3128.415453,50,22.445448
1972.797213,32,22.527812
2638.54541,42,22.637489
3251.134631,53,22.777604
2751.448288,44,22.9002
2179.121022,35,22.997567
3405.573025,55,23.142164
2313.301124,37,23.244226
2618.414305,42,23.356317
2693.47998,43,23.472286
3176.698553,51,23.686966
2653.545266,43,23.803899
2234.765634,36,23.898718
3470.470753,56,24.051716
2615.707995,42,24.163841
2819.831654,46,24.297243
2944.364043,48,24.431218
2316.017762,37,24.527002
2568.201436,41,24.63221
3073.958817,50,24.766906
2254.232289,36,24.866787
4196.20323,68,25.064919
2825.651141,45,25.263286
2237.110422,36,25.359663
1477.207032,24,25.42239
2676.237552,43,25.539543
1356.206243,22,25.596176
2106.650416,34,25.691219
4005.785242,64,25.869854
2884.335514,46,25.99863
3383.252752,55,26.14768
2823.256051,45,26.289812
1744.847996,28,26.365458
3257.536525,52,26.502205
2482.341139,40,26.694855
2882.281603,47,26.824249
3027.504422,49,26.966808
2218.03889,36,27.062417
2950.547168,47,27.194873
1353.753605,22,27.251552
3652.343587,59,27.412419
3272.669852,53,27.552528
2278.130406,37,27.651178
1419.524985,23,27.712166
2503.27342,40,27.822495
2557.175215,41,27.934283
2468.07793,40,28.042693
3196.938142,51,28.273301
2589.87711,42,28.400446
2343.649118,38,28.510515
3444.925599,55,28.654923
2823.919636,45,28.772506
3073.662086,49,28.903388
