#{"t_start": 1697247345.841883, "env_id": "HumanoidTargetPosLowLevel-v0"}
r,l,t
181.016699,59,0.302386
146.945318,58,0.433656
147.936362,53,0.548569
329.038418,99,0.765149
172.525995,72,0.920392
202.968268,83,1.098662
148.063711,52,1.213773
121.000289,48,1.490716
258.341068,86,1.671308
42.857911,29,1.746353
175.448633,61,1.873082
152.282054,51,1.976592
150.473344,51,2.081582
244.617692,73,2.23206
217.289443,69,2.376503
206.36812,72,2.519707
213.381352,77,2.760559
151.716693,81,2.931964
195.170132,69,3.070952
133.201627,57,3.190293
156.880306,56,3.310326
198.664398,62,3.446169
164.130564,58,3.590457
270.376168,85,3.857141
163.510698,59,3.990329
216.380635,70,4.143652
178.943891,63,4.29723
136.685114,51,4.426696
218.569242,72,4.60394
179.673038,60,4.749459
182.722384,57,4.865865
255.589109,114,5.194468
215.235622,69,5.345493
133.40036,44,5.442023
201.156554,75,5.596878
137.674111,50,5.708992
230.235159,70,5.857462
151.754995,58,5.977377
204.909274,69,6.128732
161.834575,63,6.350773
154.84342,55,6.487359
164.4543,61,6.617547
183.482699,58,6.752752
96.988873,54,6.884289
134.60323,51,6.99457
214.885099,81,7.163383
206.319906,68,7.305874
143.399845,58,7.526666
180.653308,60,7.677519
121.744231,48,7.781921
162.469663,56,7.904205
147.41081,50,8.006568
184.256123,60,8.142184
171.071094,60,8.279462
108.123129,50,8.394092
235.460382,75,8.570096
229.016788,68,8.812899
219.352538,72,8.975218
169.359303,74,9.139465
173.495986,61,9.289772
100.63389,53,9.404844
202.859183,67,9.542415
232.955143,75,9.720937
155.079524,60,9.850324
175.887381,63,10.085234
204.769132,69,10.237165
146.75915,56,10.364099
152.935172,50,10.467132
356.874432,127,10.745912
244.562602,82,10.922947
243.969901,75,11.088792
285.992214,103,11.398239
154.48923,52,11.525674
197.249548,65,11.66211
182.279492,60,11.820821
159.738989,60,11.985254
67.017548,35,12.081579
136.641058,50,12.218325
252.738547,83,12.441809
179.738651,70,12.681932
264.774165,85,12.861777
202.839649,63,12.990199
198.439565,72,13.137248
100.081569,50,13.26342
110.85973,51,13.372771
172.06777,66,13.512081
170.243314,58,13.632871
172.93809,67,13.84924
33.023433,23,13.897377
174.906833,55,14.012156
135.883127,54,14.129718
127.976938,51,14.240212
168.496315,57,14.361631
224.025775,80,14.525343
220.833606,69,14.673413
179.578829,66,14.890004
216.563183,69,15.040195
156.14395,61,15.177495
158.912415,67,15.323074
193.09274,63,15.464766
246.198628,72,15.622117
49.022379,30,15.688302
260.249866,86,15.878981
188.808471,73,16.111511
194.850305,66,16.259643
169.439265,66,16.412101
150.25524,52,16.52735
282.133681,102,16.746615
121.978345,42,16.833036
158.006004,53,16.939366
287.710329,98,17.14157
143.214197,60,17.351229
142.997272,53,17.469341
232.780891,89,17.652682
137.089951,60,17.781267
273.277206,85,17.959036
179.75848,58,18.075391
170.246292,60,18.200016
189.984207,62,18.331544
148.511183,63,18.547686
103.753889,45,18.643083
128.20447,57,18.762182
200.182543,72,18.913785
191.963553,62,19.0418
166.5886,58,19.179264
175.027084,61,19.357259
134.417593,47,19.49429
207.507476,72,19.781828
158.546795,50,19.896123
159.247946,59,20.025403
106.50111,49,20.148703
151.245134,54,20.266705
177.293854,64,20.410768
257.472463,81,20.598616
174.856955,60,20.737755
134.42228,52,20.857508
130.852031,44,21.039977
214.864624,76,21.220676
202.298336,74,21.380136
135.510456,59,21.505855
212.150241,77,21.662019
207.675932,79,21.822553
176.869874,59,21.939072
216.117235,73,22.147582
148.547334,53,22.255271
194.238735,65,22.388687
181.461013,60,22.504058
230.780192,75,22.653118
230.335978,75,22.914266
208.348239,71,23.124449
211.840542,75,23.336386
93.539201,46,23.543266
128.997806,57,23.67718
263.57973,86,23.864116
213.780482,66,24.000419
178.005176,57,24.115913
188.145997,63,24.268472
201.44964,71,24.505195
130.623154,53,24.644105
163.48818,67,24.898699
284.690313,97,25.106436
228.971986,74,25.269573
281.989387,84,25.447143
143.958595,56,25.569284
56.897917,32,25.640771
162.035792,59,25.776006
243.529866,79,25.960242
154.156441,62,26.164183
116.729431,51,26.274234
166.8428,60,26.406859
259.382743,79,26.570036
249.281406,80,26.725963
184.316636,67,26.862331
194.630349,67,26.995681
225.59556,77,27.215281
191.640198,68,27.351546
256.628816,82,27.515526
61.620214,35,27.586899
181.170625,58,27.703524
160.716292,55,27.814613
226.53276,93,27.995217
229.08965,94,28.180761
185.322453,72,28.399053
165.223423,65,28.523797
214.260235,71,28.659527
167.696966,55,28.77263
90.416948,47,28.867626
169.920422,67,29.003466
94.354792,51,29.104589
191.077593,63,29.227714
143.586499,47,29.391615
118.772739,46,29.484921
188.047625,60,29.60425
185.083986,67,29.73664
189.356429,67,29.867936
163.979845,60,29.985887
301.415582,99,30.175592
88.768629,38,30.252829
172.337078,55,30.364046
161.660073,61,30.55709
144.596917,52,30.662619
248.466554,83,30.831552
221.179322,80,31.001691
200.636297,65,31.140136
161.799539,62,31.281414
249.131681,83,31.465002
186.798294,65,31.672703
161.415461,61,31.813255
160.991729,52,31.927083
214.465946,73,32.070715
242.611735,79,32.230415
219.175887,69,32.393404
159.936803,53,32.541064
244.815532,80,32.777267
179.006277,59,33.006987
179.746752,80,33.19451
89.748519,47,33.338206
122.243727,44,33.471281
178.000702,67,33.626195
201.499022,76,33.828792
192.016644,86,34.031485
257.13097,83,34.280734
96.959546,50,34.3967
100.597636,39,34.49721
196.285747,70,34.655578
196.676756,68,34.818312
216.291924,70,34.974042
143.40385,55,35.09878
254.610101,107,35.326617
290.128008,96,35.638862
