#{"t_start": 1701638788.230905, "env_id": "PickUpLowLevel-v0"}
r,l,t
-52.828909,100,3.376879
-26.664974,100,5.85457
-51.947074,100,8.321295
-18.552317,100,10.848962
-39.429217,100,13.208164
-42.011081,100,24.399023
-45.27582,100,27.461353
-34.493693,100,30.463256
-11.891005,100,33.573077
-38.100834,100,36.492168
-27.402794,100,47.970379
-25.935211,100,51.094601
-27.279056,100,54.135838
-59.17704,100,57.181674
-26.989121,100,60.130797
-16.253932,100,71.875823
-26.544777,100,74.978281
-18.08334,100,78.35851
-27.933127,100,81.498418
-34.092331,100,84.712253
-18.098706,100,96.227991
-25.233128,100,99.2268
-18.643898,100,102.130717
-19.343197,100,105.024836
-19.172638,100,108.262009
-0.159029,1,108.299678
-23.706966,100,119.696652
-17.097841,100,122.698618
-21.110821,100,125.798923
-47.113741,100,128.862122
-21.140029,100,131.901823
-0.189071,1,131.931264
-30.1806,100,143.135349
-19.086926,100,146.176783
-35.31847,100,149.355474
-18.115231,100,152.388451
-20.272817,100,155.539656
-8.323546,100,167.325402
-47.180592,100,170.567605
-23.281436,100,173.581599
-12.894815,100,176.722991
-0.16376,1,176.752665
-13.282127,100,179.810598
-15.338849,100,191.569827
-33.770132,100,194.516522
-3.577323,100,197.589179
-13.420922,100,200.665663
-48.482358,100,203.630609
-21.549378,100,206.910013
15.90166,100,218.7532
-16.093679,100,221.784595
-9.825366,64,223.690439
-13.638461,100,226.72423
-24.951345,100,230.010227
-16.442289,100,241.593929
-23.200714,100,244.928503
-16.425694,100,248.000815
-18.858803,100,251.177816
-13.62679,100,254.119928
-13.908964,100,265.887321
-57.192984,100,269.084249
-17.609746,100,272.310946
-24.82882,100,275.383607
-20.765739,100,278.59586
-23.944273,100,290.343264
-17.367631,100,295.623141
-0.154545,1,295.659186
-23.99586,100,298.633323
-4.209661,22,299.301917
-18.223693,100,302.517889
-0.151423,1,302.551727
-24.873694,100,305.730352
-105.910736,100,317.576951
-18.623842,100,320.648935
-18.113378,100,323.516822
-54.854577,100,326.489959
-45.230877,100,329.672529
-0.877071,12,330.045916
-16.120379,100,341.674971
-15.282151,100,344.531031
-25.574296,100,347.349778
-23.21923,100,350.365562
-18.061905,100,353.5554
-19.28963,100,365.070242
-21.657333,100,367.855094
-14.582144,100,370.75699
-28.134123,100,373.693579
-22.43295,100,376.80915
-16.258219,100,388.365548
-19.054278,100,391.310949
-17.314393,100,394.08609
-16.780455,100,396.854793
-18.473852,100,399.901765
-17.889448,100,402.897362
-15.987697,100,414.18196
-15.902267,100,416.88139
-1.61811,16,417.306149
-14.662779,100,420.138345
-18.053245,100,423.166669
-29.104376,100,436.005786
-19.607019,100,439.550491
-15.032425,100,442.90753
-17.779334,100,446.133948
-21.348472,100,449.950891
-21.12036,100,453.320029
-18.403139,100,465.3632
-18.940466,100,468.247545
-15.867012,100,471.2277
-1.463882,100,474.181447
-18.097358,100,477.25384
-0.145022,1,477.291104
-19.411464,100,489.193959
-19.652761,100,492.172255
-15.389358,100,494.978423
-7.345874,64,496.807618
-29.754367,100,499.718191
-8.677256,54,501.396592
-19.468977,100,513.15978
-16.653153,100,516.214941
-29.590365,100,519.439872
-21.098805,100,522.843129
-12.995436,76,525.306807
-0.195144,1,525.340489
-14.122059,100,537.149947
-15.729827,100,540.096118
2.822511,100,543.130505
-18.897372,100,545.949903
-16.980193,100,549.032435
-23.665278,100,560.98654
-0.182553,1,561.015296
-2.638106,22,561.69754
-14.081219,100,564.714303
-17.299166,100,567.683758
-0.160585,1,567.71589
-43.092037,100,570.682514
-19.486481,100,573.841457
-15.587999,100,585.351368
-16.349539,100,588.125905
-3.698654,32,589.07239
-14.006951,100,593.565612
-15.556111,100,596.461195
-16.549132,100,599.565791
6.083681,100,611.363535
-12.685619,100,614.336462
-15.658891,100,617.380431
-17.425334,100,620.269234
-13.643477,100,623.261329
-37.70729,100,634.892505
-14.243035,100,637.920355
-15.257552,100,640.984683
-16.308342,100,643.938267
-13.368199,100,646.814921
-37.008147,100,658.564174
-12.128517,100,661.557018
-9.194222,100,664.554273
-20.268796,100,667.444075
-0.436096,8,667.678573
-12.283998,100,670.741986
-13.093976,100,682.235129
-3.461796,100,685.310771
-8.375012,78,687.752129
-15.094023,100,690.791602
-18.140154,100,693.75711
-18.157834,100,705.455524
-0.165926,1,705.48363
-14.824097,100,708.262357
-17.862109,100,711.079578
-13.705956,100,713.969735
-13.690672,100,716.763266
-13.592432,100,719.629862
-15.178999,100,731.070701
-13.244123,100,733.936579
-7.141943,45,735.1761
-13.770276,100,737.888725
-1.209859,11,738.166593
-12.153706,100,740.928026
-13.485919,100,752.242209
-0.149066,1,752.269227
-13.092055,100,755.127542
-9.125465,100,757.827882
-0.14576,1,757.853143
-19.292743,100,760.645711
-15.587229,100,763.472037
-15.81135,100,774.93856
-22.923578,100,777.696665
-16.407892,100,780.424779
-14.118875,100,783.217345
-15.438233,100,786.053595
4.870377,100,797.627299
-13.301224,100,800.594487
-17.612218,100,803.430536
-13.787869,100,806.31935
-16.328541,100,809.050164
-17.016953,100,820.176495
-14.608697,100,823.134123
-13.922763,100,826.021279
-13.601233,100,828.669666
-21.242917,100,831.344305
-7.371799,100,834.09996
-15.001015,100,845.487691
-14.13294,100,848.244232
-19.775611,100,850.904679
-14.637856,100,853.68622
-14.353091,100,856.515063
-7.630602,61,866.796318
-7.132248,63,868.745911
-20.793101,100,871.779087
-40.281251,100,874.587359
-14.240717,100,878.293929
-21.615147,100,880.969441
-14.585066,100,892.678379
-0.155049,1,892.707065
6.804476,100,895.531618
-16.178651,100,898.308989
-13.76377,100,901.061796
-18.597976,100,903.798348
-14.370696,100,915.437746
-8.74491,65,917.404134
-10.383821,100,920.305797
-17.618759,100,923.124199
-10.855872,100,925.981768
-13.165292,100,937.307884
-34.475962,100,940.412264
-12.35679,100,943.442688
-11.982518,100,946.273482
-0.149863,1,946.298338
-30.931257,100,949.091765
-12.899243,100,960.408935
-12.532594,100,963.43
-12.586094,100,966.339777
-12.765345,100,969.112064
-6.605617,53,970.622203
-16.076709,100,973.382832
-11.870013,100,984.861047
-14.021815,100,987.746074
-14.033045,100,990.849429
-12.721479,100,993.703797
-13.46139,100,996.441589
-13.901943,100,1007.668566
-12.233644,100,1010.669828
-0.982469,100,1013.65506
-15.698404,100,1016.492024
-11.882877,100,1019.126755
-28.834796,100,1030.183918
-13.159504,100,1033.225859
-11.550932,100,1036.234503
-11.140229,100,1039.123534
-17.45117,100,1041.800964
-13.033959,100,1052.953669
-15.641005,100,1055.753209
-12.716532,100,1058.644543
-4.547932,100,1061.693427
-0.169551,1,1061.720238
-12.069521,100,1064.409414
-12.137095,100,1075.644199
-17.047224,100,1078.504591
-12.551586,100,1081.517594
-31.38786,100,1084.553125
-10.460656,100,1087.465205
-10.494572,100,1098.826301
2.553634,100,1101.513091
-11.513343,100,1104.330162
-13.187754,100,1107.224542
-15.153759,100,1110.153222
-12.871171,100,1112.925925
-15.095606,100,1124.455362
-17.302887,100,1127.362713
-7.008075,65,1129.199221
-0.161424,1,1129.227641
-14.793333,100,1132.40403
-47.501003,100,1135.462805
-15.443526,100,1146.948182
-14.113102,100,1149.877052
-26.213189,100,1152.724865
-11.970987,100,1155.697523
-45.357923,100,1159.597136
-68.292032,100,1170.877308
-12.715199,100,1173.508328
-1.477511,14,1173.848716
-15.455742,100,1176.462706
-13.814876,100,1179.36859
-13.084236,100,1182.369017
-15.998018,100,1193.679932
-11.635148,100,1196.58907
-23.102104,100,1199.401979
-4.664825,39,1200.547275
-12.325246,100,1203.473928
-10.060194,100,1206.316463
-14.840476,100,1217.532245
-14.530246,100,1220.189562
-10.97653,100,1222.920083
-14.098784,100,1225.887327
-12.443472,100,1228.669207
-11.470214,100,1240.021781
-20.808513,100,1242.576782
-13.618497,100,1245.309403
-0.149157,1,1245.338718
-12.212611,100,1248.196759
-0.147623,1,1248.223135
-13.787975,100,1251.17207
-11.413028,100,1262.562638
-5.612239,100,1265.168849
-10.708501,100,1267.918627
-2.330247,24,1268.578947
-21.43874,100,1271.499465
-16.517195,100,1274.569566
-14.769115,100,1285.886967
-13.063722,100,1288.667615
-11.931469,100,1291.296381
-15.965781,100,1294.169961
-10.76338,100,1297.10627
-23.031888,100,1308.523028
-11.710488,100,1311.314218
-17.687889,100,1313.854381
-14.631714,100,1316.47903
-0.180512,1,1316.513975
-0.165491,1,1316.546862
-8.607218,81,1318.984218
-10.857356,100,1330.631959
-12.041046,100,1333.601083
-14.167128,100,1336.33916
-11.53508,100,1339.239693
-17.943989,100,1342.134887
-9.050326,100,1353.709432
-4.039751,33,1354.713231
-1.75381,23,1355.397774
-12.983487,100,1358.266816
-16.351556,100,1361.034944
-13.448536,100,1363.812981
-17.045211,100,1366.812935
