#{"t_start": 1701402293.415613, "env_id": "ReachWithGripperLowLevel-v0"}
r,l,t
-44.454062,100,3.585949
-0.374176,4,3.69031
-59.630015,100,5.969431
-43.46669,100,8.365447
-61.830723,100,10.677496
-57.171983,100,13.16804
-76.98394,100,23.830082
-29.408687,100,26.286856
-46.82696,100,28.958519
-29.345637,100,31.158603
-34.571107,100,33.535077
-12.568607,57,43.218111
-26.13593,100,45.548362
-27.059535,100,48.000686
-23.702631,100,50.535513
-22.917869,100,52.905833
-9.640772,50,54.062077
-20.626595,100,64.603846
-31.824266,100,66.983069
-9.208256,55,68.257465
-2.14935,16,68.660683
-20.634155,100,71.010188
-14.548197,81,72.693551
-7.65004,46,73.641354
-10.490615,50,82.575883
-19.240354,100,84.839383
-20.671693,100,86.949706
-10.850034,67,88.429197
