#{"t_start": 1698694299.8986883, "env_id": "AntObstacleLowLevel-v0"}
r,l,t
510.046617,1000,52.010294
506.104293,1000,108.935207
451.563844,1000,165.946753
506.54082,1000,223.095031
512.570634,1000,279.779435
460.592898,1000,336.21029
459.034603,1000,408.327172
516.438609,1000,465.519466
526.405914,1000,522.3863
513.058871,1000,578.882343
523.485138,1000,636.537756
508.051439,1000,693.974101
445.797914,1000,769.522057
507.91275,1000,826.37663
578.177265,1000,884.559869
437.611748,1000,942.909364
543.282755,1000,1001.630387
504.215003,1000,1059.746708
556.369289,1000,1137.257437
571.350927,1000,1195.575667
563.071502,1000,1254.513156
573.123312,1000,1306.346297
596.675018,1000,1364.554279
583.355576,1000,1423.405741
607.332897,1000,1482.423616
612.323205,1000,1559.302883
592.217487,1000,1618.11417
617.553777,1000,1676.103443
567.002598,1000,1734.251981
575.348904,1000,1793.111226
630.709229,1000,1851.894922
638.44085,1000,1928.803466
610.044302,1000,1987.832865
580.333193,1000,2046.641249
615.274654,1000,2105.368812
727.032505,1000,2163.592098
476.413807,1000,2222.100538
558.910572,1000,2299.573616
608.704048,1000,2358.547164
577.648345,1000,2417.549989
599.588037,1000,2476.602493
521.436452,1000,2536.137551
614.154979,1000,2588.766877
603.642247,1000,2666.908729
705.80015,1000,2725.344211
641.581788,1000,2784.633548
578.38903,1000,2844.551075
1791.620485,1000,2903.196098
647.172872,1000,2961.909801
662.714629,1000,3021.522769
665.633299,1000,3100.363647
-0.821386,22,3101.345523
636.390054,1000,3160.463719
621.596795,1000,3219.474378
616.34543,1000,3279.039948
602.122012,1000,3338.447913
546.017204,1000,3396.781279
624.582512,1000,3474.666126
570.73858,1000,3533.658353
704.107358,1000,3592.747801
585.468551,1000,3651.434246
582.653644,1000,3709.396717
610.509832,1000,3768.219419
642.737696,1000,3844.297282
602.259273,1000,3903.128662
574.053107,1000,3954.30613
619.653002,1000,4011.831032
620.083452,1000,4070.402798
1757.150452,1000,4129.068529
628.617587,1000,4205.475235
683.027614,1000,4264.929267
670.310672,1000,4324.05676
630.714129,1000,4382.539483
14.63286,38,4384.323994
662.650833,1000,4443.359788
682.07251,1000,4503.397245
671.295925,1000,4576.285854
709.427643,1000,4634.488356
590.525178,1000,4692.432582
554.855707,1000,4749.943494
1802.809021,1000,4808.191905
651.716397,1000,4865.523941
601.306533,1000,4923.306926
666.999946,1000,4999.355129
631.824375,1000,5057.636928
630.046315,1000,5115.231079
630.075507,1000,5172.536555
607.279614,1000,5230.288735
675.490013,1000,5288.614584
721.865238,1000,5358.612305
682.297414,1000,5415.517848
651.274912,1000,5472.758629
672.416159,1000,5530.984282
34.429335,52,5533.300137
717.3916,1000,5590.539208
656.843281,1000,5648.158886
652.03445,1000,5723.409337
724.085959,1000,5780.266159
1838.298042,1000,5837.541126
1762.244914,1000,5895.957339
708.646097,1000,5954.449221
773.755597,1000,6012.77028
668.269958,1000,6088.993853
618.770482,1000,6145.401874
730.768303,1000,6203.075749
745.300878,1000,6261.974153
681.842991,1000,6320.287697
753.378761,1000,6379.477015
1782.925771,1000,6437.428272
731.093328,1000,6513.660676
781.074914,1000,6571.68431
668.133386,1000,6629.035865
751.568599,1000,6687.100792
1864.08573,1000,6744.441988
707.266853,1000,6795.352161
2161.622692,1000,6869.81225
1856.626148,1000,6926.35848
722.165185,1000,6984.344679
733.702865,1000,7042.044113
726.906028,1000,7100.666948
688.925939,1000,7157.973258
1845.025451,1000,7235.429653
667.283695,1000,7294.740325
1773.401627,1000,7355.41601
753.81553,1000,7414.577646
714.273794,1000,7473.177487
645.701797,1000,7531.659323
1760.3712,1000,7607.85771
