#{"t_start": 1701670230.043037, "env_id": "PickAndPlaceHighLevel-v0"}
r,l,t
-33.618678,100,3.509703
-48.137552,100,6.571338
-34.222387,100,9.761619
-66.582739,100,13.096034
-53.139129,100,16.26655
-54.615691,100,26.466369
-48.204068,100,29.626011
-68.165853,100,32.766673
-38.850373,100,35.852861
-46.001815,100,39.074041
-40.250706,100,49.20066
-45.854143,100,52.316501
-35.771279,100,55.533557
-0.222113,1,55.565129
-62.637947,100,58.650752
-22.250092,100,61.868753
-48.651282,100,72.12989
-58.03547,100,75.264841
-30.371468,100,78.533901
-51.162985,100,81.90834
-58.620583,100,85.28966
-33.859017,100,95.871191
-39.167132,100,99.187512
-50.419513,100,102.60698
-29.998832,100,105.694419
-29.389185,100,108.630558
-24.870928,69,117.830481
-30.700028,100,120.611967
-37.458522,100,123.413496
-31.191923,100,126.179788
-32.368366,100,128.925646
-46.614361,100,131.95748
-32.597521,100,141.812275
-29.763894,100,144.690159
-34.561764,100,147.637688
-65.178141,100,150.559199
-67.843875,100,153.444847
-27.770229,100,163.772123
-0.185579,1,163.804861
-40.755503,100,166.691139
-30.155103,100,170.078591
-29.914468,100,173.026087
-23.078539,100,175.709142
-41.308836,100,185.404943
-13.500966,46,186.621195
-0.179541,1,186.645487
-23.689129,100,189.391084
-35.237643,100,192.076694
-16.509866,100,194.923951
-30.479725,100,205.177238
-31.838235,100,208.231866
-25.907473,100,211.181492
-93.979413,100,214.07456
-23.235599,100,216.878098
-26.007323,100,219.854664
-56.483252,100,229.931906
-28.25262,100,232.558643
-25.706701,100,235.40288
-22.721672,100,238.587716
-25.755911,100,241.758751
-25.857687,100,252.782051
-27.605113,100,255.691719
-29.437014,100,258.606004
-64.321362,100,261.357986
-50.700453,100,264.057428
-25.95776,93,273.570553
-34.463698,100,277.338605
-32.327191,100,279.854672
-35.691428,100,282.514789
-39.900688,100,285.093052
-50.225338,100,295.331253
11.560429,100,298.383725
-27.220752,100,301.317479
-28.48806,100,303.969611
-26.266335,100,306.530701
-30.471577,100,316.150507
-27.777712,100,318.712992
-35.582573,100,321.252746
-29.616594,100,323.793724
-27.252042,100,326.36553
-20.314936,100,335.928601
