#{"t_start": 1701742460.884664, "env_id": "PickAndPlaceLowLevel-v0"}
r,l,t
-17.604443,100,3.198384
-19.9426,100,5.683577
-9.01502,100,8.218937
-23.619102,100,10.88086
-8.397798,100,13.797621
-18.26961,100,24.920752
-10.794798,100,27.56498
-9.244581,100,30.334377
-28.774576,100,32.755081
-16.52194,100,35.459705
-26.409793,100,46.51594
-23.478607,100,48.986674
-20.46911,100,51.558788
-15.543544,100,53.953984
-24.534435,100,56.252966
-13.252635,100,67.000339
-19.736496,100,69.762945
-13.40341,100,72.188266
-26.835103,100,74.858677
-29.087468,100,77.194644
-31.283142,100,88.06289
-0.034596,1,88.087116
-27.783475,100,90.415063
-20.940907,100,92.649597
-13.722495,100,94.895466
-20.474581,100,97.142962
-11.23821,100,107.86829
-23.605739,100,110.426703
-20.865971,100,112.636953
-16.177485,100,114.815137
-23.683623,100,117.057955
-20.315452,100,127.849397
-10.851842,100,130.495952
-27.13133,100,132.944795
-25.969175,100,135.205375
-14.962448,100,137.614493
-24.65043,100,148.557586
-24.321233,100,151.261009
-5.61939,100,153.93872
-26.281949,100,156.551764
-21.488336,100,158.81577
-0.032466,1,158.841351
-20.195045,100,169.502141
-21.812041,100,171.864353
-26.262005,100,174.402079
-12.394211,100,177.000802
-16.330945,100,179.645982
-28.726745,100,181.822472
-8.239989,100,192.612955
-31.420106,100,195.101725
-15.350416,100,197.685938
-24.1576,100,200.209122
-22.109719,100,202.773117
-21.66733,100,213.626984
-21.669248,100,216.08426
-9.824014,100,218.335974
-8.833204,100,220.767098
-26.199345,100,223.280756
-0.044478,1,223.307126
-18.242933,100,234.243488
-12.763719,100,236.558467
-23.341929,100,238.807628
-17.878519,100,240.997943
-22.447184,100,243.451446
-22.088755,100,254.487104
-22.262745,100,257.917395
-16.580558,100,259.976251
-23.218801,100,262.053588
-23.23417,100,264.289025
-10.664102,100,274.947247
-29.037975,100,277.314658
-6.01901,100,279.833429
-24.224426,100,282.118562
-24.080758,100,284.181334
-36.269671,100,294.858072
-21.793236,100,297.237343
-9.852767,100,299.720906
-24.214996,100,301.846899
-17.703039,100,303.900044
-27.55696,100,314.647473
-0.038514,1,314.673318
-8.543956,100,317.131711
-21.245025,100,319.339635
-23.166452,100,321.451276
-19.971494,100,323.527809
-11.103013,100,334.132216
-15.544982,100,336.67015
-11.997164,100,339.184604
-9.455142,100,341.327248
-12.339469,100,343.436182
-21.278644,100,345.879918
-13.533342,100,356.788778
-25.998626,100,359.260258
-24.532143,100,361.718801
-18.162341,100,364.140329
-25.476348,100,366.51384
-21.550439,100,377.217532
-18.08941,100,379.493461
-0.046968,1,379.522754
-13.350568,100,382.07201
-17.944727,100,384.587523
-9.694402,100,386.979398
-24.528671,100,397.514975
-21.791912,100,399.554761
-32.542153,100,401.673377
-12.012262,100,404.14996
-24.787256,100,406.678043
-7.527257,100,417.285035
-17.132188,100,419.343574
-15.915513,100,421.502549
-22.706807,100,423.591307
-20.020053,100,425.786863
-15.218348,100,437.373354
-20.337305,100,439.912969
-23.081213,100,442.214358
-22.602064,100,444.389548
-20.972093,100,446.602632
-25.58376,100,457.12693
-14.828684,100,459.23356
-11.601514,100,461.503725
-18.960378,100,463.626214
-24.112365,100,465.781037
-16.535495,100,476.596751
-24.952127,100,478.967323
-20.90288,100,481.196217
-30.041743,100,483.49927
-22.00202,100,485.671472
-19.501725,100,496.431675
-18.275512,100,498.950621
-5.415948,100,502.292885
-27.99202,100,504.345812
-17.486744,100,506.50299
-24.200768,100,517.074758
-36.105562,100,519.548607
-14.903706,100,522.024298
-18.957796,100,524.574641
-15.789775,100,526.618891
-0.010554,1,526.638352
-16.089228,100,528.632452
-18.33664,100,539.492693
-5.4963,100,542.118713
-24.001308,100,544.762
-13.144582,100,547.410048
-17.035364,100,549.689054
-25.97417,100,560.583124
-14.929259,100,562.732416
-13.778236,100,565.154143
-25.875024,100,567.600954
-20.627313,100,570.067759
-26.671257,100,580.80141
-24.963274,100,583.060844
-19.964155,100,585.575876
