#{"t_start": 1701747199.519528, "env_id": "PickUpLowLevel-v0"}
r,l,t
-53.386735,100,4.142498
-37.14288,100,7.48944
-53.941814,100,10.414955
-45.096698,100,13.389701
-17.658722,100,16.52167
-0.190857,1,16.557419
-57.327743,100,28.172417
-17.313513,100,31.080463
-36.222621,100,33.915741
-5.267761,33,34.859095
-29.130461,100,38.055001
-32.465316,100,49.97605
-18.606996,100,53.22096
-20.535869,100,56.437746
-38.928266,100,59.671005
-40.759899,100,62.872228
-23.111373,100,65.852336
-23.945447,100,78.137824
-24.965464,100,81.464096
-31.851383,100,84.74527
-33.634355,100,87.948101
-22.138146,100,90.954722
7.290565,100,103.21385
-0.207463,1,103.247378
-0.196535,1,103.281599
-14.315964,100,106.523764
-11.715807,100,109.779072
-16.361499,100,112.868765
-0.181966,1,112.903015
-20.319822,100,116.143019
-25.622685,100,128.500344
-17.339038,100,131.448263
-18.046346,100,134.437224
-11.958197,100,137.568109
-13.833057,100,140.617296
-18.689782,100,152.904556
-17.937671,100,155.967758
-15.491972,100,159.103746
-18.70674,100,162.202006
-16.526323,100,165.143548
-63.997714,100,176.839598
-14.325905,100,180.032576
-16.231114,84,182.658377
-15.466768,100,185.813288
-3.277584,24,186.476168
-21.821467,100,189.516061
-21.522891,100,201.379465
-21.061133,100,204.385727
-21.169218,100,207.595374
-14.744755,100,210.66976
-22.873325,100,213.465064
-14.364288,100,225.723706
-20.788615,100,228.838138
-21.975622,100,232.085668
-28.509543,100,235.141495
-18.249554,100,238.24829
-16.484887,100,250.06119
-18.34736,100,253.279962
-17.004837,100,256.506687
-20.768324,100,259.34066
-7.268617,55,260.957903
-20.199317,100,263.814533
-18.325322,100,275.77589
-19.911321,100,278.897096
-20.345263,100,281.814895
-7.081687,100,284.950514
-37.208895,100,287.824033
-15.895343,100,299.860604
-10.316167,72,303.136765
-35.529941,100,306.0757
-7.799511,34,306.996564
-19.85184,100,309.878756
-17.596207,100,312.893667
-23.34301,100,324.862117
-48.051389,100,327.850408
-21.129569,100,330.914063
-16.627486,100,333.683644
-20.735497,100,336.597744
-8.443446,100,348.548059
-16.33786,100,351.713784
-21.800116,100,354.844918
-18.09137,100,357.831335
-19.189887,100,360.690057
-12.575942,100,372.754557
14.329281,100,376.012572
-17.987611,100,379.032742
-16.45559,100,381.885206
-0.166257,1,381.912618
-0.148341,1,381.938837
-17.634789,100,384.991733
-18.66904,100,396.716281
-20.218169,100,399.947469
-17.895673,100,403.217872
-5.52611,44,404.653491
-15.99283,100,407.742471
-9.56368,100,410.774547
-16.842039,100,422.502022
-48.125454,100,425.600985
-16.829944,100,429.003789
-22.222601,100,432.049496
-19.942297,100,435.082009
-68.516984,100,446.570713
-0.157415,1,446.602783
