#{"t_start": 1701402477.29707, "env_id": "ReachWithGripperHighLevel-v0"}
r,l,t
-110.841975,100,2.809758
-73.875344,100,5.398912
-63.953473,100,8.01616
-57.007684,100,10.749578
-104.283279,100,13.290297
-70.740225,100,23.346906
-47.329749,100,26.208363
-72.953934,100,28.891396
-64.703351,100,31.603099
-60.058945,100,34.317718
-47.785828,100,44.220653
-35.15064,100,46.978754
-31.694041,100,49.650341
-47.563595,100,52.450414
-35.062739,100,55.116587
-62.684605,100,65.003408
-31.407173,100,67.441883
-4.356304,17,67.810431
-24.896757,100,70.506998
-22.870726,100,73.116304
-27.81784,100,75.800829
-0.031432,1,75.829563
-22.189492,100,85.995017
-18.561129,82,87.95592
-38.545355,100,90.566606
-26.745052,100,93.215037
-22.614999,100,95.541453
-31.710778,100,105.222958
-0.81044,7,105.368792
-25.227239,100,107.831888
-2.255288,16,108.249631
-12.111067,68,110.115785
-25.080327,100,112.790065
-20.558285,100,115.459489
-21.254437,100,125.331272
-6.280452,26,126.019379
-21.849103,100,128.74526
-3.093341,25,129.481529
-21.390204,100,132.239186
-8.9211,62,133.916584
-2.968804,26,134.601079
-6.997356,31,135.43115
-8.691406,52,136.817084
-22.098186,100,146.648959
-20.051161,100,149.011475
-9.607027,52,150.217378
-2.144228,14,150.584487
-1.598904,14,151.016155
-0.278086,4,151.104889
-0.322505,4,151.207061
-8.721344,59,152.817042
-16.867055,100,155.441663
-1.038627,10,155.646588
-18.577834,100,158.017747
-10.241983,72,166.827612
-7.892715,51,168.156117
-18.191695,100,170.63673
-0.215209,3,170.699497
-0.257184,4,170.784042
-1.968776,16,171.146124
-3.263066,29,171.778644
-0.244772,3,171.84656
-15.101015,100,174.24029
-5.903606,25,174.856275
-9.273892,55,176.19038
-2.240811,15,176.495634
-7.788392,46,177.537541
-2.097191,17,177.947206
-3.636405,30,185.65458
-5.571687,38,186.721957
-8.345142,48,187.808705
-8.299618,62,189.203772
-5.94362,33,189.899012
-7.536582,46,190.907817
-13.929415,100,193.050074
-0.038135,1,193.07092
-2.512563,14,193.416523
-1.767252,15,193.790629
-0.173968,3,193.864547
-0.126315,2,193.913934
-0.326247,4,194.008489
-0.539054,5,194.110905
-5.28022,36,195.044784
-1.512412,12,195.308352
-0.5629,7,195.46307
-9.850662,63,204.174082
-0.537784,7,204.32895
-6.056536,45,205.448267
-0.117257,2,205.507335
-2.68633,22,206.159565
-0.37897,4,206.272742
-10.115538,66,207.947978
-0.686683,9,208.152515
-1.755247,15,208.506427
-3.508866,31,209.281674
-1.854147,19,209.761782
-4.379696,41,210.840724
-2.942707,19,211.339434
-13.572075,100,213.935909
-0.465342,4,214.040546
-1.062646,11,214.293268
-13.803339,100,216.924505
-1.955082,20,224.675363
-0.034508,1,224.698878
-1.607827,15,225.069546
-15.08524,100,227.404401
-1.885552,18,227.827609
-14.752443,100,230.371252
-1.464345,10,230.595144
-2.414502,20,231.068898
-12.901015,100,233.509566
-1.964597,15,233.886921
-0.733622,6,234.03459
-14.532983,100,236.507674
-0.873361,8,236.68128
-0.372461,5,236.785216
-2.291908,20,244.944568
-0.457734,5,245.059362
-0.864961,9,245.255951
-1.627149,16,245.599488
-5.032455,31,246.295936
-3.025363,25,246.861096
