#{"t_start": 1701743731.3821921, "env_id": "PickUpHighLevel-v0"}
r,l,t
-97.870342,100,3.392109
-50.962752,100,6.47337
-93.460379,100,9.714501
-46.192391,100,13.039421
-36.847417,100,16.455437
-45.934038,100,27.564418
-55.652062,100,30.670975
-62.283987,100,33.753765
-84.455031,100,37.132746
-109.407411,100,40.242215
-71.906534,100,50.903567
-33.74366,100,53.989365
-62.298206,100,57.265366
-0.731873,7,57.491169
-58.35582,100,60.838833
-46.172587,100,64.180328
-38.654612,100,75.107003
-66.970494,100,78.295683
-31.514949,100,81.524466
-0.176348,1,81.554538
-55.75049,100,84.691794
-24.308513,100,88.063976
-34.342327,100,98.832151
-41.521556,100,102.114502
-27.79038,100,105.733698
-53.542046,100,109.471103
-43.650077,100,112.733174
-39.703485,100,123.928398
-83.160837,100,127.334283
-25.925823,83,130.21582
-29.61853,100,133.459449
-31.090318,100,136.945703
-34.277179,100,147.926128
-33.747251,100,151.543582
-24.698784,100,155.067112
-23.67678,100,158.500717
-21.349301,75,161.030688
-50.590821,100,164.137278
-24.49611,100,175.338053
-21.124066,80,177.981668
-63.005597,100,181.082928
-54.415321,100,184.617885
-0.163871,1,184.651924
-72.214313,100,188.023635
-53.034367,100,198.551095
-28.553413,100,201.264223
-90.425665,100,204.426653
-2.632777,13,204.864407
-23.328034,100,208.338241
-50.776806,100,211.868069
-33.412323,100,222.645089
-40.106166,100,225.447645
-25.951683,100,228.841644
-36.263964,100,232.28276
-19.581648,100,235.503187
-29.758213,100,246.70732
-19.507614,84,249.039709
9.433955,100,252.236882
-24.214932,100,255.505409
-25.319812,100,258.947882
-25.282965,100,270.216093
-21.941852,100,273.051835
-12.586198,48,274.470302
-46.739257,100,277.75012
-22.002084,100,281.007429
-0.190312,1,281.041029
-23.341709,100,284.198305
-33.772387,100,295.052721
-30.646931,100,299.728407
-14.528545,54,301.54186
-20.013757,100,305.088406
-23.056989,100,308.215506
-41.063864,100,311.184888
-21.296021,100,322.626088
-26.223459,78,325.296088
-4.81953,100,328.846524
-23.968794,100,332.114785
-19.370268,100,335.066221
-30.846065,100,346.160996
-56.699565,100,349.772792
-24.230674,100,353.357017
-41.875026,100,356.291292
-5.808744,100,359.289322
-32.805406,100,370.593893
-23.875249,100,374.065868
-0.571704,7,374.332121
-41.609145,100,377.734897
-22.716021,100,380.816565
-17.831557,69,383.288772
-20.956953,100,394.837263
-20.907373,100,398.479113
-56.684455,100,402.001968
-0.156724,1,402.038788
-18.061247,100,405.647325
-24.084583,100,409.188672
-20.963736,100,412.321999
-27.016208,100,423.993763
-19.224773,100,427.441542
-43.189177,100,431.070542
-23.120038,100,434.388971
-26.011044,100,437.177132
-21.638621,100,448.399445
-22.122799,100,451.715428
-3.889467,28,452.678534
-22.339149,100,455.766398
-31.411524,100,458.605039
-1.845226,13,459.048764
-21.185617,100,469.809556
-22.408101,100,473.085492
-19.176827,100,476.255682
-21.58138,83,478.488973
-28.2097,100,481.184836
-21.310504,100,484.050881
-25.445537,100,494.988682
-19.897082,100,497.932301
-40.646973,100,500.669358
-22.755224,100,503.490399
-21.173178,100,506.278845
-24.735608,100,517.358436
-21.89966,100,520.260311
-0.160269,1,520.287399
-28.839154,100,523.034565
-23.961164,100,525.798757
-21.333401,100,528.997495
-25.285632,100,540.331335
-46.418429,100,543.230725
-1.86515,13,543.608915
-0.148403,1,543.641197
-23.549283,100,546.43143
-9.293052,39,547.507902
-24.158363,100,550.802001
-20.019004,100,561.946027
-27.511847,100,565.107674
-1.645865,8,565.324397
-0.143435,1,565.352339
-22.88116,100,568.141853
-21.741376,100,571.443832
10.81846,100,574.96898
-2.93282,23,575.808974
-15.677916,65,578.188861
-20.328181,100,589.247855
-19.910089,100,592.295236
-18.702514,100,597.302098
-36.144535,100,600.602405
-8.831479,100,603.464935
-0.143747,1,603.495617
-21.458433,100,614.602108
-13.886368,100,618.071788
-0.163617,1,618.110924
-16.82584,100,621.491853
13.952353,33,622.377214
-9.231391,54,623.888739
-24.734347,100,626.64372
-15.029103,86,637.112813
-19.195476,100,640.645678
-17.918782,100,643.613462
-23.414018,100,646.364383
2.363415,100,649.128946
-24.885369,100,659.7909
-23.241618,100,663.160705
-49.555922,100,665.887546
-7.889592,100,668.616657
-0.158526,1,668.646453
-31.424958,100,671.517024
-19.462824,100,682.109301
-63.58436,100,684.900654
-0.16692,1,684.928042
-2.932528,24,685.58948
-9.054505,100,688.38542
-22.4204,100,691.278863
-32.815028,100,694.232876
-0.144251,1,694.263621
-20.982668,100,705.141111
-49.058268,100,707.877884
2.294933,100,710.767075
-0.147292,1,710.793612
-29.594413,100,713.628102
-10.544825,54,715.394628
-1.800335,16,715.965348
-2.636479,16,716.515401
-0.148599,1,716.547745
-0.155361,1,716.582701
-0.143982,1,716.617783
-20.409575,100,727.692544
-5.564077,100,730.431374
-23.503072,100,733.239391
-21.67434,100,736.354285
-21.18798,100,739.67047
-16.805909,100,743.121395
-1.453377,100,753.799117
-22.341944,100,756.700558
-26.855387,100,760.143567
-17.311171,100,763.56599
-25.161887,100,766.628356
-21.220168,100,777.605873
-30.501525,100,780.820922
-16.187897,100,784.369524
-27.834843,100,787.77177
-46.418979,100,790.597515
-10.478052,59,800.282784
-36.681329,100,803.604715
-17.392548,100,807.011452
-23.44205,100,810.243733
-31.026568,100,812.978016
-22.396288,100,823.696732
-19.968797,100,827.028962
-18.215201,100,830.399333
-7.554793,100,833.175995
-0.162459,1,833.204104
-17.749406,100,835.952153
-17.177713,98,846.594163
2.924875,100,849.947099
-17.39485,100,853.001926
-21.5715,100,855.665667
-18.079895,100,858.452051
-31.538388,100,861.208211
-2.662791,20,869.461787
-92.921757,100,872.638854
-0.171318,1,872.664459
-15.512189,100,875.438697
-42.701649,100,878.229865
-16.212505,100,882.090503
-17.917629,100,892.916259
-18.065479,100,895.596476
-12.201606,71,897.607179
-4.882225,35,898.539414
-19.476339,100,901.35249
-29.699319,100,904.409041
-18.872259,100,907.79196
-19.470015,100,918.268639
-0.14548,1,918.294999
-5.273784,100,921.012649
-4.604199,33,921.932479
-20.671571,100,924.728121
-15.208661,100,928.109206
-4.416495,27,929.032103
-36.368249,100,939.832207
-63.244366,100,942.556776
