#{"t_start": 1698027313.6258821, "env_id": "AntObstacleHighLevel-v0"}
r,l,t
475.400872,1000,32.729459
248.178,589,61.300886
464.636322,1000,100.579731
631.298986,1000,139.878221
711.565909,1000,173.762726
696.73291,1000,214.513926
633.882619,1000,264.608695
648.494826,1000,306.702844
710.729481,1000,351.143046
651.004402,1000,394.942202
694.771612,1000,439.93651
647.22094,1000,489.746076
79.413089,145,494.182845
894.020128,1000,551.117334
718.017168,1000,601.818023
716.476357,1000,647.623513
672.857927,1000,692.88072
1033.342386,1000,736.631605
690.311661,1000,778.429575
666.92997,1000,818.505822
926.45528,1000,867.860452
822.97032,1000,907.91735
667.711909,1000,948.06345
786.836059,1000,988.070512
832.911274,1000,1028.136814
785.391925,1000,1068.392797
776.486283,1000,1118.055786
620.522288,1000,1158.361483
1361.758622,1000,1198.38881
719.142288,1000,1238.455077
737.156622,1000,1279.161618
719.812539,1000,1319.099702
792.892161,1000,1361.723869
754.932937,1000,1401.607621
796.916525,1000,1441.407342
705.9423,1000,1481.287209
777.954684,1000,1521.300158
826.574264,1000,1560.990082
1104.302646,1000,1610.364898
1216.344698,1000,1649.97085
1310.850347,1000,1690.2022
1413.89559,1000,1730.531258
498.261439,1000,1770.891509
784.940935,1000,1811.093026
72.921608,172,1815.673437
811.32805,1000,1865.290895
850.112346,1000,1905.191347
700.555393,1000,1945.222735
783.19184,1000,1985.112563
1027.676994,1000,2023.282162
778.463072,1000,2061.715143
740.522238,1000,2100.085901
636.836379,1000,2147.80899
1048.003559,1000,2186.256694
729.263639,1000,2225.339277
737.819216,1000,2263.927627
712.603109,1000,2302.465791
848.369929,1000,2340.622518
748.237127,1000,2388.258358
251.764611,499,2407.507648
650.299526,1000,2445.703319
1171.666363,1000,2484.80459
799.302605,1000,2522.32923
743.437828,1000,2569.314505
815.12473,1000,2615.8111
