#{"t_start": 1697418283.259779, "env_id": "AntTargetPosHighLevel-v0"}
r,l,t
621.285163,1000,30.28938
80.519707,220,41.927732
490.301761,1000,78.738389
635.679136,1000,114.903339
812.862222,1000,151.037291
156.861763,328,158.76284
922.080447,1000,195.63824
492.711004,1000,244.005411
525.972982,1000,282.161301
685.04131,1000,318.400605
565.478645,1000,355.492341
600.47887,1000,391.893133
986.724088,1000,429.362056
1030.115915,1000,478.07098
996.699562,1000,523.101646
399.047589,1000,566.525114
1012.418496,1000,607.471545
1126.892424,1000,648.563858
1084.7277,1000,691.97023
512.548634,1000,734.107835
1115.412914,1000,787.843103
1185.287518,1000,830.745133
946.340958,1000,873.071921
1214.705375,1000,917.11809
1201.165242,1000,953.555845
1201.775657,1000,994.99645
1265.158379,1000,1047.608596
1056.06313,1000,1090.330812
1224.289929,1000,1134.474009
1245.8779,1000,1175.084307
1145.08243,1000,1216.2923
1186.729036,1000,1262.712263
998.072452,1000,1318.456902
661.602455,1000,1358.572625
1281.699076,1000,1399.42886
1159.720261,1000,1442.340262
1243.69977,1000,1484.652266
1194.713704,1000,1528.445128
1288.303818,1000,1582.261936
1167.849428,1000,1625.046704
1275.609707,1000,1668.401873
982.646859,1000,1712.163607
1183.782139,1000,1756.080764
469.465899,1000,1803.537924
1289.895287,1000,1853.34185
1295.418896,1000,1916.915565
1334.857059,1000,1952.574529
1277.647738,1000,1989.482595
