#{"t_start": 1703220803.9640572, "env_id": "ReachWithGripperLowLevel-v0"}
r,l,t
-26.731332,100,5.341359
-49.865002,100,8.397978
-73.619938,100,11.51723
-46.533974,100,14.620402
-29.804038,100,17.909312
-31.519972,100,31.539442
-3.470002,22,32.189531
-49.622666,100,35.056395
-22.132173,100,37.919138
-24.600052,100,40.98979
-50.492255,100,43.89073
-31.277651,100,58.914147
-16.930918,100,61.915733
-18.089092,100,64.709448
-25.906344,100,67.60811
-20.080937,76,69.803046
-19.388434,100,84.365968
-21.42125,100,87.765021
-1.466806,11,88.079546
-25.059348,100,90.894267
-2.427641,21,91.467177
-2.61613,16,91.888871
-0.829699,7,92.075336
-1.861485,16,92.486561
-13.194916,84,94.918439
-2.149555,13,95.262791
-0.315143,3,95.347664
-19.38754,100,109.460566
-18.920146,100,112.371868
-16.454338,100,115.009751
-17.18382,100,117.698951
-22.072122,100,120.63657
-5.741235,34,121.693003
-13.767384,100,135.926059
-1.708306,18,136.509112
-18.878455,100,139.612659
-0.712221,8,139.830174
-1.4427,17,140.290118
-3.31185,25,140.975089
-18.719888,100,143.796278
-14.922921,100,146.668203
-16.905263,100,149.42796
-3.409984,35,161.720499
-3.709657,25,162.423572
-2.095495,17,162.89806
-2.600195,23,163.533291
-3.258737,24,164.242375
-7.285172,52,165.660517
-11.810226,100,168.528429
-2.446361,19,169.166062
-1.036373,11,169.463986
-16.005446,100,172.241969
-0.650966,9,172.505066
-7.462663,51,173.877425
-12.968105,100,188.957319
-1.743503,12,189.298103
-1.000206,9,189.560779
-16.093345,100,192.319511
-2.514119,25,193.017282
-0.485636,7,193.192127
-4.758244,48,194.473026
-15.057298,100,197.436973
-5.200409,47,198.743452
-4.571496,28,199.471445
-5.160868,43,200.664591
-20.175604,100,214.634826
-0.367936,5,214.763279
-0.175311,3,214.845717
-4.872336,45,216.025652
-9.445786,75,218.150425
-3.040539,26,218.839814
-0.850054,12,219.169438
-0.129247,2,219.304842
-1.450974,10,219.726272
-0.127184,2,219.778507
-5.351664,38,220.829427
-1.668165,19,221.337852
-1.58266,16,221.7645
-5.567566,57,223.259342
-3.369917,28,224.028629
-0.122457,2,224.088894
-0.407374,5,224.211527
-1.563616,16,224.65664
-1.448654,12,224.974943
-1.701333,16,225.407491
-3.081192,27,226.153524
-1.421261,14,226.554134
-5.508053,35,238.707268
-3.962546,42,239.853842
-1.242247,14,240.214275
-1.174733,11,240.508311
-3.254346,18,240.937696
-1.560432,13,241.256755
-0.313367,5,241.38456
-0.711464,7,241.565012
-0.131071,2,241.612948
-1.506018,14,241.982684
-1.476813,12,242.326704
-1.25617,11,242.627386
-1.462326,15,243.020155
-2.37998,24,243.688589
-4.605285,37,244.702417
-0.833726,11,244.995294
-3.076247,25,245.693289
-1.121771,13,246.021113
-10.444452,67,247.754871
-4.138118,39,248.83226
-0.120917,2,248.879716
-0.344082,4,248.980315
-13.089279,100,251.747014
-0.046337,1,251.77609
-1.581564,14,263.368591
-0.892061,8,263.574082
-2.412722,23,264.165134
-0.353659,4,264.282573
-1.271341,12,264.601512
-0.328373,4,264.700955
-0.160432,3,264.786142
-0.906761,10,265.039852
-1.032931,11,265.329548
-1.299227,12,265.651606
-0.987549,10,265.91584
-0.798864,11,266.226766
-1.641186,19,266.729601
-0.668767,8,266.943905
-2.00657,20,267.488004
-3.085822,34,268.390013
-8.707168,76,270.428266
-0.635434,6,270.592659
-0.579931,7,270.76654
-0.962236,11,271.047483
-1.109385,10,271.313626
-3.26071,20,271.830011
-1.586067,13,272.169355
-3.986954,38,273.155416
-1.007866,13,273.491063
-2.195885,24,274.116167
-5.378826,48,275.506842
-2.105727,19,276.012863
-3.027489,22,276.638116
-0.421332,6,276.799288
-2.227214,13,288.360717
-1.601467,12,288.673098
-1.908822,17,289.09873
-2.114513,25,289.775697
-0.525688,7,289.961094
-0.792427,8,290.161124
-0.814478,8,290.360242
-1.38828,13,290.690337
-1.943373,18,291.159851
-0.262592,4,291.291693
-1.018339,11,291.583959
-3.749783,40,292.638074
-1.868167,10,292.894593
-0.120182,2,292.951191
-0.829393,8,293.151904
-0.644917,7,293.333277
-0.022376,1,293.357494
-0.479841,5,293.478094
-2.605909,25,294.11983
-1.059631,12,294.435512
-0.830193,8,294.645354
-0.207316,3,294.719771
-0.512859,6,294.869205
-3.296956,26,295.552516
-0.656354,6,295.70872
-0.113488,2,295.753132
-0.831211,8,295.961511
-0.913261,9,296.205973
-0.741885,8,296.423231
-0.397267,4,296.533045
-2.508727,23,297.113529
-1.681799,13,297.423568
-0.236695,3,297.496876
-2.156441,17,297.927281
-0.868909,8,298.127266
-1.849478,16,298.795345
-0.99345,12,299.137487
-0.617882,7,299.350884
-1.900094,24,300.036482
-1.609496,16,300.450971
-1.775784,16,300.859297
-2.054201,20,301.423202
-1.248558,9,301.683658
-0.040921,1,301.709041
-1.094887,11,313.672875
-2.03922,20,314.177042
-1.852881,19,314.661216
-1.323822,15,315.034968
-2.605056,25,315.706835
-2.608425,25,316.342877
-1.712577,15,317.348276
-0.577413,8,317.565121
-0.331588,5,317.703439
-2.749819,28,318.521075
-0.231155,3,318.59278
-0.035268,1,318.616247
-0.574391,7,318.790439
-1.053654,12,319.157675
-0.394577,4,319.266103
-0.019692,1,319.297135
-0.458346,5,319.437001
-0.626433,9,319.685828
-0.182568,3,319.778446
-0.372219,4,319.914904
-1.003643,12,320.206659
-0.096545,2,320.25374
-0.102242,2,320.309646
-2.32813,19,320.791955
-1.472825,15,321.187553
-0.364834,5,321.314287
-0.311559,5,321.443289
-0.781797,10,321.698553
-2.213033,21,322.260215
-1.948051,17,322.681386
-0.333301,5,322.799806
-0.030204,1,322.826145
-0.216714,3,322.89219
-0.190758,3,322.963555
-0.830969,9,323.197168
-2.372781,25,323.83041
-0.534303,6,323.982032
-1.176387,14,324.334996
-0.585644,8,324.54845
-0.363514,4,324.648254
-4.327418,40,325.741958
-0.016923,1,325.765486
-2.939033,29,326.515358
-0.82751,11,326.816769
-2.129299,17,327.285575
-1.790729,15,327.687939
-0.13826,2,327.740758
-0.102751,2,338.907146
-0.732263,7,339.109435
-0.331129,3,339.206419
-0.087328,2,339.257164
-0.314644,4,339.374225
-1.124452,11,339.683925
-0.654533,5,339.815888
-0.280289,3,339.893075
-0.708956,8,340.101239
-0.28298,3,340.175907
-1.484726,13,340.493573
-0.66725,6,340.641654
-0.022784,1,340.670325
-0.965087,9,340.910556
-0.280373,3,340.989494
-0.15644,2,341.036629
-0.767172,7,341.212594
-1.055429,12,341.516245
-0.242286,3,341.60368
-0.030683,1,341.630026
-0.323949,5,341.755586
-0.094015,2,341.810718
-0.040616,1,341.836747
-0.963323,8,342.049229
-0.693404,7,342.23283
-0.686091,6,342.386225
-3.651151,30,343.211008
-0.219188,4,343.307788
-0.273678,3,343.442661
-0.25145,3,343.536232
