#{"t_start": 1698020184.472141, "env_id": "AntTargetPosLowLevel-v0"}
r,l,t
481.056289,1000,24.949052
461.700708,1000,58.124855
510.892039,1000,90.978273
492.863981,1000,124.168566
453.205291,1000,157.077708
480.534445,1000,190.41642
516.476969,1000,223.822804
469.09071,1000,256.634952
505.77016,1000,289.192794
501.753184,1000,321.744179
526.911139,1000,354.219151
481.277026,1000,386.473042
540.642718,1000,425.497054
533.233585,1000,457.788979
581.325838,1000,490.382239
480.272447,1000,522.659144
492.705725,1000,554.905267
606.934062,1000,586.806943
628.920488,1000,625.403211
545.526528,1000,657.613905
655.210468,1000,689.687671
610.617814,1000,713.493731
664.435424,1000,745.658136
559.196297,1000,778.214612
535.57224,1000,810.451714
662.57212,1000,849.487002
719.619531,1000,881.7235
713.873145,1000,914.364712
707.750933,1000,946.574131
805.718475,1000,979.270972
812.864221,1000,1011.493207
886.1718,1000,1050.473981
741.61668,1000,1083.308807
845.460737,1000,1115.637621
736.307607,1000,1148.245442
883.365314,1000,1180.943245
892.011954,1000,1214.056691
990.855301,1000,1253.120106
884.976082,1000,1285.840661
1044.857287,1000,1318.465979
1012.412801,1000,1351.473855
1071.329647,1000,1384.203666
1062.444747,1000,1408.702463
1010.900771,1000,1448.301592
1134.003032,1000,1481.077632
1073.798015,1000,1513.886219
1044.920683,1000,1546.734653
1210.499386,1000,1579.495016
1105.362485,1000,1612.270299
1039.19452,1000,1645.419659
1135.502566,1000,1684.519709
1201.352019,1000,1717.74597
1269.758898,1000,1753.799005
