#{"t_start": 1703304693.901118, "env_id": "PickUpHighLevel-v0"}
r,l,t
-102.85449,100,3.166476
-102.593987,100,5.731881
-121.213162,100,8.348683
-99.79951,100,10.765034
-106.225311,100,13.177315
-117.248681,100,22.886306
-117.051329,100,25.72722
-98.456071,100,28.663038
-115.301113,100,31.163459
-124.126588,100,33.61742
-105.840131,100,43.574547
-38.350124,100,46.003937
-0.209923,1,46.033025
-81.406073,100,48.484539
-100.568012,100,50.928745
-95.262999,100,53.379406
-55.397443,100,62.917184
-33.018579,100,65.372775
-51.383538,100,67.805374
-41.315422,100,70.279299
-0.197416,1,70.312485
-62.041194,100,72.802177
-57.382502,100,82.449862
-49.386652,100,84.930708
-47.114107,100,87.582372
-0.185372,1,87.609012
-85.935849,100,90.137468
-67.844566,100,92.624903
-35.718362,100,102.261143
-0.165269,1,102.289266
-51.928206,100,104.79783
-33.935996,100,107.373402
-34.710138,100,109.835024
-35.44503,100,112.30769
-39.10665,100,121.881419
-39.070917,100,124.357969
-36.205283,100,126.882354
-33.955283,100,129.360027
-29.286723,100,131.828916
-0.207176,1,131.856454
-46.382109,100,141.531551
-33.662271,100,143.995493
-37.942464,100,146.695848
-35.22511,100,149.227217
-32.239549,100,151.782567
-40.886597,100,161.354592
-29.529634,100,163.932094
-34.51344,100,166.529305
-32.741401,100,169.031671
-64.184371,100,171.600223
-31.037256,100,174.101479
-33.299563,100,183.652334
-34.030558,100,186.155519
-0.166978,1,186.183031
-34.495916,100,188.738263
-39.00297,100,191.239049
-29.170881,100,193.788533
-0.180808,1,193.816519
-19.702462,100,203.447102
-32.570686,100,206.051605
-69.362695,100,208.656243
-33.074308,100,211.222713
-29.220465,100,213.783274
-51.941255,100,223.497465
-30.819629,100,226.006887
-24.81604,100,228.549306
-21.070204,100,231.040004
-19.8674,100,233.600534
-0.155147,1,233.627231
-29.863606,100,243.46066
-22.107838,100,246.892815
-0.196773,1,246.917727
-34.923863,100,249.473457
-18.891767,100,252.024488
-39.06528,100,254.618446
-25.278294,100,264.414057
-30.584206,100,267.083044
-29.467346,100,269.640232
-29.115781,100,272.348231
-21.289729,100,274.847638
-0.198583,1,274.871602
-26.497361,100,284.624385
-31.480924,100,287.111807
-0.183416,1,287.13772
-20.550685,100,289.706621
-24.392922,100,292.240599
-24.329705,100,294.783441
-17.281182,100,304.603928
-26.749052,100,307.163684
-33.163009,100,309.713865
-25.562458,100,312.264511
-25.427872,100,314.768931
-34.447906,100,324.494743
-0.15,1,324.520213
-20.25907,100,327.145991
-21.169176,100,329.78561
-27.649985,100,332.474931
-21.999448,100,335.009054
-23.069699,100,344.631481
-38.552959,100,347.210148
