#{"t_start": 1697381819.757644, "env_id": "AntObstacleHighLevel-v0"}
r,l,t
397.433329,1000,143.772911
632.210796,1000,246.188717
616.36796,1000,332.396716
627.664048,1000,414.631271
542.026365,1000,501.809426
482.549673,1000,591.531182
536.530548,1000,690.205836
562.926328,1000,764.709892
620.722657,1000,842.28534
594.559762,1000,919.677708
508.450082,1000,993.564851
706.57697,1000,1067.492412
561.861846,1000,1160.217978
580.56076,1000,1234.472287
687.614051,1000,1308.108344
558.625759,1000,1381.965892
647.552684,1000,1458.886839
506.765489,1000,1536.708631
658.010815,1000,2504.470249
630.499518,1000,2646.45612
652.016473,1000,2739.43215
579.961161,1000,2813.152946
586.391712,1000,2900.192088
529.281699,1000,2992.141521
591.272767,1000,3044.089014
663.078928,1000,3091.945076
632.078515,1000,3130.531013
673.119574,1000,3168.860191
593.713903,1000,3206.992601
618.123552,1000,3245.093024
732.848808,1000,3283.376754
596.937703,1000,3330.828013
638.092847,1000,3368.83937
567.225317,1000,3406.910005
509.386293,1000,3450.19365
637.505439,1000,3494.457632
651.130848,1000,3538.660339
1084.155119,1000,3596.827354
606.209009,1000,3641.936672
621.734616,1000,3683.767449
671.020363,1000,3725.438255
589.441252,1000,3768.617814
650.905785,1000,3803.01574
667.017813,1000,3856.49648
684.302544,1000,3899.815094
644.389121,1000,3938.921461
404.913383,1000,3977.850084
