#{"t_start": 1697346771.1928, "env_id": "AntTargetPosHighLevel-v0"}
r,l,t
678.525212,1000,32.256698
736.975572,1000,71.544671
933.867817,1000,112.531916
1062.897252,1000,151.954997
748.663735,1000,191.895465
682.288792,1000,231.946415
1219.124451,1000,283.531157
1031.537049,1000,323.482127
565.233967,1000,364.127639
1175.829867,1000,404.916376
1290.43896,1000,447.739517
561.257608,1000,488.448866
1336.697633,1000,539.360065
1167.275239,1000,579.396887
525.463277,1000,620.823754
1449.322082,1000,664.381275
602.216684,1000,705.5598
580.802104,1000,746.016626
1183.220644,1000,797.076207
503.114719,1000,836.891257
555.67236,1000,878.044533
570.695993,1000,912.747635
1391.714403,1000,953.331954
1564.610026,1000,996.181396
1498.435479,1000,1035.299105
1401.356892,1000,1086.960278
544.714752,1000,1128.63379
1560.060113,1000,1170.147175
1566.414252,1000,1210.110543
1584.868329,1000,1249.777988
1538.064409,1000,1288.759119
1440.804719,1000,1338.806117
1611.462987,1000,1380.823015
525.130209,1000,1420.987239
510.581053,1000,1461.257103
1568.220596,1000,1500.560782
1696.337387,1000,1543.149898
1510.374192,1000,1594.765486
1204.959239,1000,1637.008792
1621.324227,1000,1678.048096
501.099718,1000,1719.212593
654.600833,1000,1758.050161
714.641828,1000,1791.856728
1426.495808,1000,1843.019454
1489.014728,1000,1883.531234
1473.175325,1000,1922.524389
498.932812,1000,1959.260575
