#{"t_start": 1697350871.072059, "env_id": "AntTargetPosLowLevel-v0"}
r,l,t
506.796905,1000,24.715482
480.37009,1000,57.463895
413.693886,1000,89.845075
480.653157,1000,122.317827
467.518534,1000,155.500798
378.49619,1000,189.146992
531.198584,1000,224.529454
500.561507,1000,258.942259
542.007264,1000,296.956259
580.594375,1000,334.381315
507.32293,1000,2163.273342
572.701057,1000,4380.254648
516.733024,1000,8169.385006
539.570076,1000,14810.122759
521.521163,1000,14965.764292
445.914402,1000,15053.18738
595.328863,1000,15125.577716
605.610383,1000,15197.031864
602.336625,1000,15286.204523
636.58529,1000,15363.73737
586.331548,1000,15443.303828
702.171449,1000,15503.772073
644.902369,1000,15578.983189
497.45575,1000,15654.025418
672.770087,1000,15725.915466
668.444756,1000,15807.934221
699.827958,1000,15875.430752
696.238794,1000,15941.429754
779.162586,1000,16006.396056
801.964971,1000,16074.195285
846.041665,1000,16144.994267
841.811698,1000,16232.033633
839.080392,1000,16303.268652
1002.861057,1000,16377.66742
1019.945176,1000,16453.522306
901.995536,1000,16524.919997
751.353782,1000,16592.205428
1027.216527,1000,16669.993446
1090.122885,1000,16733.80482
1014.911601,1000,16797.621721
927.941898,1000,16861.542682
1111.200536,1000,16925.36246
1073.145511,1000,16974.187057
1144.827032,1000,17051.654055
1163.003809,1000,17115.627587
1177.656445,1000,17179.49882
1231.534121,1000,17243.471091
